ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001789,Park,Y Parc,Monmouthshire,0.5485451108856201,23,41.92909487948357,True,1,2
W05001278,Gabalfa,Gabalfa,Cardiff,1.2557518997573853,15,11.94503468630869,True,2,14
W05001794,Severn,Hafren,Monmouthshire,1.852683331237793,20,10.795152988523858,True,3,5
W05001289,Plasnewydd,Plasnewydd,Cardiff,1.6157635095710754,17,10.521341705824797,True,4,9
W05001252,Porthcawl West Central,Canol Gorllewin Porthcawl,Bridgend,0.7266270601463318,7,9.633552593802802,True,5,48
W05001352,Rhyl South West,De-orllewin y Rhyl,Denbighshire,1.8464003563461304,17,9.2071039423116,True,6,9
W05001270,Adamsdown,Adamsdown,Cardiff,1.0855305928764343,9,8.290876423990815,True,7,33
W05001293,Riverside,Glanyrafon,Cardiff,2.5967131795425415,21,8.08714653795516,True,8,4
W05001798,Town,Y Dref,Monmouthshire,1.254254403968811,9,7.175577754817115,True,9,33
W05001272,Caerau,Caerau,Cardiff,3.035269165382385,20,6.58920145471856,True,10,5
W05001603,Mold: Broncoed,Yr Wyddgrug: Broncoed,Flintshire,1.2348163899917604,8,6.478695994676085,True,11,42
W05001384,Court,Court,Vale of Glamorgan,0.7987867466964722,5,6.259492938106959,True,12,70
W05001231,Brackla East Central,Canol Dwyrain Bracla,Bridgend,0.512128243347168,3,5.857907738875323,True,13,126
W05001767,Chepstow Castle and Larkfield,Castell Cas-gwent a Larkfield,Monmouthshire,1.399886229522705,8,5.71475012132066,True,14,42
W05001354,Rhyl Tŷ Newydd,Y Rhyl Tŷ Newydd,Denbighshire,1.9533189396896362,11,5.6314408141395464,True,15,22
W05001276,Ely,Trelái,Cardiff,3.0307890517196654,16,5.279153292084654,True,16,11
W05001713,Acrefair North,Gogledd Acre-fair,Wrexham,0.8072812513427734,4,4.954902635663455,True,17,98
W05001716,Borras Park,Parc Borras,Wrexham,0.6090942329101563,3,4.925346256631708,True,18,126
W05001273,Canton,Treganna,Cardiff,3.0937431701126097,15,4.848495552219356,True,19,14
W05001738,Hermitage,Hermitage,Wrexham,0.6842380778961181,3,4.384438833372649,True,20,126
W05001765,Caldicot Cross,Croes Cil-y-coed,Monmouthshire,0.46550637300109865,2,4.296396603780288,True,21,192
W05001277,Fairwater,Y Tyllgoed,Cardiff,3.052292178367615,13,4.259094228309586,True,22,17
W05001400,Stanwell,Stanwell,Vale of Glamorgan,0.9436713979148865,4,4.238763629837996,True,23,98
W05001606,Mold West,Gorllewin yr Wyddgrug,Flintshire,1.195671980430603,5,4.181748909261323,True,24,70
W05001467,Milford: West,Gorllewin Aberdaugleddau,Pembrokeshire,0.7272774043655396,3,4.124973472284805,True,25,126
W05001295,Splott,Y Sblot,Cardiff,4.860504559700012,20,4.114799143658121,True,26,5
W05001350,Rhyl East,Dwyrain y Rhyl,Denbighshire,1.7123189697418213,7,4.088023390323966,True,27,48
W05001536,Glyder,Glyder,Gwynedd,0.9817011532897949,4,4.074559744170142,True,28,98
W05001234,Bridgend Central,Canol Pen-y-bont ar Ogwr,Bridgend,2.779415570285797,11,3.9576665388216528,True,29,22
W05001351,Rhyl South,De'r Rhyl,Denbighshire,2.8106048757400512,11,3.9137482806449717,True,30,22
W05001286,Pentwyn,Pentwyn,Cardiff,3.584668768283844,14,3.905521236402125,True,31,16
W05001353,Rhyl Trellewelyn,Y Rhyl Trellewelyn,Denbighshire,1.795649065711975,7,3.898311832565401,True,32,48
W05001274,Cathays,Cathays,Cardiff,3.3479803447914125,13,3.8829379689234504,True,33,17
W05001399,St Augustine's,St Augustine's,Vale of Glamorgan,1.5538967475090026,6,3.8612604149010474,True,34,61
W05001389,Illtyd,Illtud,Vale of Glamorgan,2.871987427761078,11,3.8301003318023907,True,35,22
W05001740,Little Acton,Acton Fechan,Wrexham,0.522445664024353,2,3.828149294214016,True,36,192
W05001530,Dwyrain Bangor,Dwyrain Bangor,Gwynedd,1.5710077113113403,6,3.8192046778635627,True,37,61
W05001280,Heath,Y Mynydd Bychan,Cardiff,3.1625387303504944,12,3.794419933845388,True,38,19
W05001102,Rhydfelen Central,Canol Rhydfelen,Rhondda Cynon Taf,0.530823105178833,2,3.767733507617768,True,39,192
W05001380,Buttrills,Buttrills,Vale of Glamorgan,1.0729384257926942,4,3.7280797330422506,True,40,98
W05001285,Llanrumney,Llanrhymni,Cardiff,2.9984987677841186,11,3.6685024246746534,True,41,22
W05001605,Mold South,De'r Wyddgrug,Flintshire,1.3710648465499877,5,3.6468005233899086,True,42,70
W05001279,Grangetown,Grangetown,Cardiff,5.321057432361603,19,3.570718835779861,True,43,8
W05001348,Prestatyn South West,De-orllewin Prestatyn,Denbighshire,2.556486610877991,9,3.5204565366016416,True,44,33
W05001730,Garden Village,Garden Village,Wrexham,0.5707059026870728,2,3.5044319509984674,True,45,192
W05001233,Brackla West Central,Canol Gorllewin Bracla,Bridgend,0.8583492099151612,3,3.495080982595089,True,46,126
W05001612,Shotton East and Shotton Higher,Dwyrain Shotton a Shotton Uchaf,Flintshire,1.4729779788894652,5,3.394483876649461,True,47,70
W05001468,Narberth: Urban,Arberth Drefol,Pembrokeshire,0.8863051648635865,3,3.384838675132552,True,48,126
W05001237,Cefn-glas,Cefn-glas,Bridgend,1.5303306546096802,5,3.267267753500814,True,49,70
W05001066,Townhill,Townhill,Swansea,1.8381410541496277,6,3.26416734257413,True,50,61
W05001596,Holywell Central,Canol Treffynnon,Flintshire,0.9342504054718017,3,3.211130530347464,True,51,126
W05001067,Uplands,Uplands,Swansea,2.3199400601348876,7,3.017319335221532,True,52,48
W05001388,Gibbonsdown,Gibbonsdown,Vale of Glamorgan,1.6780279272117615,5,2.9796881916667988,True,53,70
W05001597,Holywell East,Dwyrain Treffynnon,Flintshire,1.3490278147201538,4,2.965098240639146,True,54,98
