rank,ward_name,council,nation,election,control_group,ward_code,canvassing_events,vs_avg_ward,vs_avg_canvassed_ward
1,Crookes and Crosspool,Sheffield,England,Local (2026),Coalition,E05010863,82,26.2,10.3
2,Hyde Werneth,Tameside,England,Local (2026),TBC,E05014532,74,23.7,9.3
3,St Peter's,Tameside,England,Local (2026),TBC,E05014535,67,21.4,8.4
4,Craigentinny/Duddingston,City of Edinburgh,Scotland,Holyrood (2026),,S13002932,62,19.8,7.8
5,St Giles,Southwark,England,Local (2026),TBC,E05011115,57,18.2,7.2
6,Walkley,Sheffield,England,Local (2026),Coalition,E05010882,56,17.9,7.1
7,Park and Arbourthorne,Sheffield,England,Local (2026),Coalition,E05010876,54,17.3,6.8
8,East Chesterton,Cambridge,England,Local (2026),TBC,E05013055,52,16.6,6.6
9,Brook Green,Hammersmith and Fulham,England,Local (2026),Labour,E05013735,49,15.7,6.2
10,Weetwood,Leeds,England,Local (2026),TBC,E05011413,47,15.0,5.9
11,Rotherhithe,Southwark,England,Local (2026),TBC,E05011112,45,14.4,5.7
12,Streatham Hill East,Lambeth,England,Local (2026),TBC,E05014113,45,14.4,5.7
13,Manor Castle,Sheffield,England,Local (2026),Coalition,E05010873,44,14.1,5.5
14,Clapham Town,Lambeth,England,Local (2026),TBC,E05014102,43,13.7,5.4
15,Rye Lane,Southwark,England,Local (2026),TBC,E05011113,43,13.7,5.4
16,South Bermondsey,Southwark,England,Local (2026),TBC,E05011116,43,13.7,5.4
17,Hillrise,Islington,England,Local (2026),Labour,E05013705,42,13.4,5.3
18,Temple Newsam,Leeds,England,Local (2026),TBC,E05013831,42,13.4,5.3
19,Firth Park,Sheffield,England,Local (2026),Coalition,E05010868,41,13.1,5.2
20,Burnage,Manchester,England,Local (2026),Labour,E05011354,40,12.8,5.0
21,Brixton Rush Common,Lambeth,England,Local (2026),TBC,E05014097,38,12.1,4.8
22,Nunhead and Queen's Road,Southwark,England,Local (2026),TBC,E05011108,37,11.8,4.7
23,Peckham Rye,Southwark,England,Local (2026),TBC,E05011111,37,11.8,4.7
24,Coleridge,Cambridge,England,Local (2026),TBC,E05013054,36,11.5,4.5
25,Gorton and Abbey Hey,Manchester,England,Local (2026),Labour,E05011365,36,11.5,4.5
26,Littlemore,Oxford,England,Local (2026),Labour,E05013107,36,11.5,4.5
27,Paisley East and Central,Renfrewshire,Scotland,Holyrood (2026),,S13003079,36,11.5,4.5
28,Romsey,Cambridge,England,Local (2026),TBC,E05013061,35,11.2,4.4
29,White City,Hammersmith and Fulham,England,Local (2026),Labour,E05013752,35,11.2,4.4
30,Bonnyrigg,Midlothian,Scotland,Holyrood (2026),,S13003019,34,10.9,4.3
31,Lower Stoke,Coventry,England,Local (2026),TBC,E05001226,33,10.5,4.2
32,Wensum,Norwich,England,Local (2026),Green,E05012913,33,10.5,4.2
33,Leith Walk,City of Edinburgh,Scotland,Holyrood (2026),,S13002930,32,10.2,4.0
34,Southey,Sheffield,England,Local (2026),Coalition,E05010879,32,10.2,4.0
35,Brandwood and King's Heath,Birmingham,England,Local (2026),TBC,E05011130,31,9.9,3.9
36,Hyde Park,Westminster,England,Local (2026),Conservative,E05013796,31,9.9,3.9
37,Withington,Manchester,England,Local (2026),Labour,E05011380,31,9.9,3.9
38,Bounds Green,Haringey,England,Local (2026),TBC,E05013586,30,9.6,3.8
