council,ward_name,seats,council_key,ward_key,majority,control_group,boundary_code,feature_index,last_result_party,last_result_year
Barnsley,Athersley and New Lodge,3,barnsley,athersley and new lodge,REF,Reform UK,,,,
Barnsley,Darfield and Great Houghton,3,barnsley,darfield and great houghton,REF,Reform UK,,,,
Barnsley,"Dodworth, Stainborough and Tankersley",3,barnsley,dodworth stainborough and tankersley,REF,Reform UK,,,,
Bradford,Airedale,3,bradford,airedale,TBC,TBC,,,,
Bradford,Bingley East,3,bradford,bingley east,TBC,TBC,,,,
Bradford,Bingley West,3,bradford,bingley west,TBC,TBC,,,,
Bradford,Heaton and Frizinghall,3,bradford,heaton and frizinghall,TBC,TBC,,,,
Bradford,Holme Wood and Bierley,3,bradford,holme wood and bierley,TBC,TBC,,,,
Bradford,Ilkley and Addingham,3,bradford,ilkley and addingham,TBC,TBC,,,,
Bradford,Wibsey and Odsal,3,bradford,wibsey and odsal,TBC,TBC,,,,
Calderdale,Greetland,3,calderdale,greetland,REF,Reform UK,,,,
Calderdale,Halifax Town,3,calderdale,halifax town,REF,Reform UK,,,,
Calderdale,Hebden Bridge and Todmorden East,3,calderdale,hebden bridge and todmorden east,REF,Reform UK,,,,
Calderdale,"Salterhebble, Southowram and Skircoat Green",3,calderdale,salterhebble southowram and skircoat green,REF,Reform UK,,,,
Calderdale,Todmorden West,3,calderdale,todmorden west,REF,Reform UK,,,,
Calderdale,Wainhouse,3,calderdale,wainhouse,REF,Reform UK,,,,
Coventry,Holbrooks,3,coventry,holbrooks,TBC,TBC,,,,
Coventry,Tile Hill and Canley,3,coventry,tile hill and canley,TBC,TBC,,,,
East Surrey,Ashtead,2,east surrey,ashtead,TBC,TBC,,,,
East Surrey,"Banstead, Woodmansterne and Chipstead",2,east surrey,banstead woodmansterne and chipstead,TBC,TBC,,,,
East Surrey,Bookham and Fetcham West,2,east surrey,bookham and fetcham west,TBC,TBC,,,,
East Surrey,Caterham Hill,2,east surrey,caterham hill,TBC,TBC,,,,
East Surrey,Caterham Valley,2,east surrey,caterham valley,TBC,TBC,,,,
East Surrey,Cobham and Oxshott South,2,east surrey,cobham and oxshott south,TBC,TBC,,,,
East Surrey,Dorking,2,east surrey,dorking,TBC,TBC,,,,
East Surrey,Dorking Hills,2,east surrey,dorking hills,TBC,TBC,,,,
East Surrey,Dorking Rural,2,east surrey,dorking rural,TBC,TBC,,,,
East Surrey,Earlswood and Reigate South,2,east surrey,earlswood and reigate south,TBC,TBC,,,,
East Surrey,Epsom Town and Downs,2,east surrey,epsom town and downs,TBC,TBC,,,,
East Surrey,Epsom West,2,east surrey,epsom west,TBC,TBC,,,,
East Surrey,"Esher, Claygate and Oxshott North",2,east surrey,esher claygate and oxshott north,TBC,TBC,,,,
East Surrey,"Ewell Court, Auriol and Cuddington",2,east surrey,ewell court auriol and cuddington,TBC,TBC,,,,
East Surrey,"Ewell Village, Stoneleigh and Nonsuch",2,east surrey,ewell village stoneleigh and nonsuch,TBC,TBC,,,,
East Surrey,Godstone,2,east surrey,godstone,TBC,TBC,,,,
East Surrey,Hersham,2,east surrey,hersham,TBC,TBC,,,,
East Surrey,Horley East,2,east surrey,horley east,TBC,TBC,,,,
East Surrey,"Horley West, Salfords and Sidlow",2,east surrey,horley west salfords and sidlow,TBC,TBC,,,,
East Surrey,Leatherhead and Fetcham East,2,east surrey,leatherhead and fetcham east,TBC,TBC,,,,
East Surrey,Lingfield,2,east surrey,lingfield,TBC,TBC,,,,
East Surrey,"Long Ditton, Hinchley Wood and Weston Green",2,east surrey,long ditton hinchley wood and weston green,TBC,TBC,,,,
East Surrey,Merstham and Banstead South,2,east surrey,merstham and banstead south,TBC,TBC,,,,
East Surrey,Nork and Tattenhams,2,east surrey,nork and tattenhams,TBC,TBC,,,,
East Surrey,Oxted,2,east surrey,oxted,TBC,TBC,,,,
East Surrey,Redhill East and North Earlswood,2,east surrey,redhill east and north earlswood,TBC,TBC,,,,
East Surrey,Redhill West and Meadvale,2,east surrey,redhill west and meadvale,TBC,TBC,,,,
East Surrey,Reigate,2,east surrey,reigate,TBC,TBC,,,,
East Surrey,"Tadworth, Walton and Kingswood",2,east surrey,tadworth walton and kingswood,TBC,TBC,,,,
East Surrey,Thames Ditton and East Molesey,2,east surrey,thames ditton and east molesey,TBC,TBC,,,,
East Surrey,Walton,2,east surrey,walton,TBC,TBC,,,,
East Surrey,Walton South and Oatlands,2,east surrey,walton south and oatlands,TBC,TBC,,,,
East Surrey,Warlingham,2,east surrey,warlingham,TBC,TBC,,,,
East Surrey,West Ewell,2,east surrey,west ewell,TBC,TBC,,,,
East Surrey,West Molesey,2,east surrey,west molesey,TBC,TBC,,,,
East Surrey,Weybridge,2,east surrey,weybridge,TBC,TBC,,,,
East Sussex,"Arlington, East Hoathly and Hellingly",1,east sussex,arlington east hoathly and hellingly,CON min,Conservative,,,,
East Sussex,Ashdown and Conquest,1,east sussex,ashdown and conquest,CON min,Conservative,,,,
East Sussex,Baird and Ore,1,east sussex,baird and ore,CON min,Conservative,,,,
East Sussex,Battle and Crowhurst,1,east sussex,battle and crowhurst,CON min,Conservative,,,,
East Sussex,Bexhill East,1,east sussex,bexhill east,CON min,Conservative,,,,
East Sussex,Bexhill North,1,east sussex,bexhill north,CON min,Conservative,,,,
East Sussex,Bexhill South,1,east sussex,bexhill south,CON min,Conservative,,,,
East Sussex,Bexhill West,1,east sussex,bexhill west,CON min,Conservative,,,,
East Sussex,Braybrooke and Castle,1,east sussex,braybrooke and castle,CON min,Conservative,,,,
East Sussex,Brede Valley and Marsham,1,east sussex,brede valley and marsham,CON min,Conservative,,,,
East Sussex,Central St Leonards and Gensing,1,east sussex,central st leonards and gensing,CON min,Conservative,,,,
East Sussex,Chailey,1,east sussex,chailey,CON min,Conservative,,,,
East Sussex,Crowborough North and Jarvis Brook,1,east sussex,crowborough north and jarvis brook,CON min,Conservative,,,,
East Sussex,Crowborough South and St Johns,1,east sussex,crowborough south and st johns,CON min,Conservative,,,,
East Sussex,Devonshire,1,east sussex,devonshire,CON min,Conservative,,,,
East Sussex,Forest Row and Groombridge,1,east sussex,forest row and groombridge,CON min,Conservative,,,,
East Sussex,Hailsham Market,1,east sussex,hailsham market,CON min,Conservative,,,,
East Sussex,Hailsham New Town,1,east sussex,hailsham new town,CON min,Conservative,,,,
East Sussex,Hampden Park,1,east sussex,hampden park,CON min,Conservative,,,,
East Sussex,Heathfield and Mayfield,1,east sussex,heathfield and mayfield,CON min,Conservative,,,,
East Sussex,Hollington and Wishing Tree,1,east sussex,hollington and wishing tree,CON min,Conservative,,,,
East Sussex,Langney,1,east sussex,langney,CON min,Conservative,,,,
East Sussex,Lewes,1,east sussex,lewes,CON min,Conservative,,,,
East Sussex,Maresfield and Buxted,1,east sussex,maresfield and buxted,CON min,Conservative,,,,
East Sussex,Maze Hill and West St Leonards,1,east sussex,maze hill and west st leonards,CON min,Conservative,,,,
East Sussex,Meads,1,east sussex,meads,CON min,Conservative,,,,
East Sussex,Newhaven and Bishopstone,1,east sussex,newhaven and bishopstone,CON min,Conservative,,,,
East Sussex,Northern Rother,1,east sussex,northern rother,CON min,Conservative,,,,
East Sussex,Old Hastings and Tressell,1,east sussex,old hastings and tressell,CON min,Conservative,,,,
East Sussex,Old Town,1,east sussex,old town,CON min,Conservative,,,,
East Sussex,Ouse Valley West and Downs,1,east sussex,ouse valley west and downs,CON min,Conservative,,,,
East Sussex,Peacehaven,1,east sussex,peacehaven,CON min,Conservative,,,,
East Sussex,Pevensey and Stone Cross,1,east sussex,pevensey and stone cross,CON min,Conservative,,,,
East Sussex,Polegate and Watermill,1,east sussex,polegate and watermill,CON min,Conservative,,,,
East Sussex,Ratton,1,east sussex,ratton,CON min,Conservative,,,,
East Sussex,Ringmer and Lewes Bridge,1,east sussex,ringmer and lewes bridge,CON min,Conservative,,,,
East Sussex,Rother North West,1,east sussex,rother north west,CON min,Conservative,,,,
East Sussex,Rye and Eastern Rother,1,east sussex,rye and eastern rother,CON min,Conservative,,,,
East Sussex,Seaford North,1,east sussex,seaford north,CON min,Conservative,,,,
East Sussex,Seaford South,1,east sussex,seaford south,CON min,Conservative,,,,
East Sussex,Sovereign,1,east sussex,sovereign,CON min,Conservative,,,,
East Sussex,St. Anthony's,1,east sussex,st anthony s,CON min,Conservative,,,,
East Sussex,St Helens and Silverhill,1,east sussex,st helens and silverhill,CON min,Conservative,,,,
East Sussex,Telscombe,1,east sussex,telscombe,CON min,Conservative,,,,
East Sussex,Uckfield North,1,east sussex,uckfield north,CON min,Conservative,,,,
East Sussex,Uckfield South with Framfield,1,east sussex,uckfield south with framfield,CON min,Conservative,,,,
East Sussex,Upperton,1,east sussex,upperton,CON min,Conservative,,,,
East Sussex,Wealden East,1,east sussex,wealden east,CON min,Conservative,,,,
East Sussex,Wealden North East,1,east sussex,wealden north east,CON min,Conservative,,,,
East Sussex,Willingdon and South Downs,1,east sussex,willingdon and south downs,CON min,Conservative,,,,
Essex,Billericay North,1,essex,billericay north,REF,Reform UK,,,,
Essex,Bocking,1,essex,bocking,REF,Reform UK,,,,
Essex,Braintree Eastern,1,essex,braintree eastern,REF,Reform UK,,,,
Essex,Braintree Town,1,essex,braintree town,REF,Reform UK,,,,
Essex,Brentwood Hutton,1,essex,brentwood hutton,REF,Reform UK,,,,
Essex,Brentwood North,1,essex,brentwood north,REF,Reform UK,,,,
Essex,Brentwood Rural,1,essex,brentwood rural,REF,Reform UK,,,,
Essex,Brentwood South,1,essex,brentwood south,REF,Reform UK,,,,
Essex,Brightlingsea,1,essex,brightlingsea,REF,Reform UK,,,,
Essex,Broomfield and Writtle,1,essex,broomfield and writtle,REF,Reform UK,,,,
Essex,Burnham and Southminster,1,essex,burnham and southminster,REF,Reform UK,,,,
Essex,Burstead,1,essex,burstead,REF,Reform UK,,,,
Essex,Canvey Island East,1,essex,canvey island east,REF,Reform UK,,,,
Essex,Canvey Island West,1,essex,canvey island west,REF,Reform UK,,,,
Essex,Castledon and Crouch,1,essex,castledon and crouch,REF,Reform UK,,,,
Essex,Chelmer,1,essex,chelmer,REF,Reform UK,,,,
Essex,Chelmsford Central,1,essex,chelmsford central,REF,Reform UK,,,,
Essex,Chelmsford North,1,essex,chelmsford north,REF,Reform UK,,,,
Essex,Chelmsford West,1,essex,chelmsford west,REF,Reform UK,,,,
Essex,Chigwell and Buckhurst Hill East,1,essex,chigwell and buckhurst hill east,REF,Reform UK,,,,
Essex,Clacton North,1,essex,clacton north,REF,Reform UK,,,,
Essex,Clacton South,1,essex,clacton south,REF,Reform UK,,,,
Essex,Clacton West and St Osyth,1,essex,clacton west and st osyth,REF,Reform UK,,,,
Essex,Colchester Abbey,1,essex,colchester abbey,REF,Reform UK,,,,
Essex,Colchester Lexden,1,essex,colchester lexden,REF,Reform UK,,,,
Essex,Colchester Maypole,1,essex,colchester maypole,REF,Reform UK,,,,
Essex,Colchester North,1,essex,colchester north,REF,Reform UK,,,,
Essex,Colchester St Johns,1,essex,colchester st johns,REF,Reform UK,,,,
Essex,Constable,1,essex,constable,REF,Reform UK,,,,
Essex,Danbury and the Hanningfields,1,essex,danbury and the hanningfields,REF,Reform UK,,,,
Essex,Dunmow,1,essex,dunmow,REF,Reform UK,,,,
Essex,Epping and Theydon Bois,1,essex,epping and theydon bois,REF,Reform UK,,,,
Essex,Frinton and Walton,1,essex,frinton and walton,REF,Reform UK,,,,
