council,control_2026
Aberdeen City,Coalition
Aberdeenshire,Coalition
Angus,Coalition
Argyll and Bute,Coalition
Arun,Coalition
Ashford,Coalition
Babergh,Coalition
Basingstoke and Deane,Coalition
Boston,Coalition
"Bournemouth, Christchurch and Poole",Coalition
Brentwood,Coalition
Broadland,Coalition
Bromsgrove,Coalition
Burnley,Coalition
Canterbury,Coalition
Castle Point,Coalition
Cherwell,Coalition
Cheshire East,Coalition
Colchester,Coalition
Conwy,Coalition
Darlington,Coalition
Denbighshire,Coalition
Derbyshire Dales,Coalition
Dumfries and Galloway,Coalition
East Devon,Coalition
East Hampshire,Coalition
East Hertfordshire,Coalition
East Renfrewshire,Coalition
East Suffolk,Coalition
Elmbridge,Coalition
Folkestone and Hythe,Coalition
Hart,Coalition
Havant,Coalition
Hertsmere,Coalition
Highland,Coalition
Lancaster,Coalition
Lewes,Coalition
Maidstone,Coalition
Malvern Hills,Coalition
Melton,Coalition
Mid Sussex,Coalition
Neath Port Talbot,Coalition
North Somerset,Coalition
North West Leicestershire,Coalition
Pembrokeshire,Coalition
Powys,Coalition
Rochford,Coalition
Rother,Coalition
Runnymede,Coalition
Scottish Borders,Coalition
Sheffield,Coalition
Slough,Coalition
South Gloucestershire,Coalition
South Kesteven,Coalition
South Lanarkshire,Coalition
Southend-on-Sea,Coalition
Spelthorne,Coalition
Stafford,Coalition
Swale,Coalition
Tendring,Coalition
Tewkesbury,Coalition
Vale of Glamorgan,Coalition
Warwick,Coalition
Waverley,Coalition
Wealden,Coalition
Welwyn Hatfield,Coalition
West Devon,Coalition
West Oxfordshire,Coalition
West Suffolk,Coalition
Wrexham,Coalition
Bedford,Conservative
Blaby,Conservative
Braintree,Conservative
Breckland,Conservative
Broxbourne,Conservative
Dartford,Conservative
Dudley,Conservative
East Cambridgeshire,Conservative
East Lindsey,Conservative
East Riding of Yorkshire,Conservative
Epping Forest,Conservative
Fenland,Conservative
Fylde,Conservative
Great Yarmouth,Conservative
Harborough,Conservative
Harlow,Conservative
"Herefordshire, County of",Conservative
Lichfield,Conservative
Moray,Conservative
New Forest,Conservative
North East Lincolnshire,Conservative
North Kesteven,Conservative
North Lincolnshire,Conservative
North Warwickshire,Conservative
Reigate and Banstead,Conservative
Ribble Valley,Conservative
Rushcliffe,Conservative
Sevenoaks,Conservative
South Ayrshire,Conservative
South Holland,Conservative
South Norfolk,Conservative
South Staffordshire,Conservative
Test Valley,Conservative
Tonbridge and Malling,Conservative
Torbay,Conservative
Wychavon,Conservative
Wyre,Conservative
Wyre Forest,Conservative
Forest of Dean,Green
Mid Suffolk,Green
Norwich,Green
Ashfield,Independent
Broxtowe,Independent
Central Bedfordshire,Independent
Epsom and Ewell,Independent
Maldon,Independent
Merthyr Tydfil,Independent
Na h-Eileanan Siar,Independent
Orkney Islands,Independent
Pendle,Independent
Shetland Islands,Independent
Tandridge,Independent
Torridge,Independent
Uttlesford,Independent
Amber Valley,Labour
Basildon,Labour
Bassetlaw,Labour
Blackpool,Labour
Blaenau Gwent,Labour
Bolsover,Labour
Bolton,Labour
Bracknell Forest,Labour
Bridgend,Labour
Brighton and Hove,Labour
Bury,Labour
Caerphilly,Labour
Cardiff,Labour
Charnwood,Labour
Cheshire West and Chester,Labour
Chesterfield,Labour
Chorley,Labour
City of Edinburgh,Labour
Crawley,Labour
Derby,Labour
Dover,Labour
East Lothian,Labour
East Staffordshire,Labour
Erewash,Labour
Fife,Labour
Flintshire,Labour
Gedling,Labour
Gravesham,Labour
Halton,Labour
High Peak,Labour
Inverclyde,Labour
Ipswich,Labour
Kirklees,Labour
Knowsley,Labour
Leicester,Labour
Lincoln,Labour
Liverpool,Labour
Luton,Labour
Manchester,Labour
Mansfield,Labour
Medway,Labour
Middlesbrough,Labour
Monmouthshire,Labour
Newark and Sherwood,Labour
Newcastle upon Tyne,Labour
Newport,Labour
North East Derbyshire,Labour
North Hertfordshire,Labour
North Lanarkshire,Labour
North Tyneside,Labour
Nottingham,Labour
Oldham,Labour
Peterborough,Labour
Plymouth,Labour
Reading,Labour
Redcar and Cleveland,Labour
Rhondda Cynon Taf,Labour
Rochdale,Labour
Rossendale,Labour
Rugby,Labour
Rushmoor,Labour
Salford,Labour
Sefton,Labour
South Derbyshire,Labour
South Ribble,Labour
Staffordshire Moorlands,Labour
Stevenage,Labour
Stirling,Labour
Stockton-on-Tees,Labour
Stoke-on-Trent,Labour
Swansea,Labour
Tamworth,Labour
Telford and Wrekin,Labour
Thanet,Labour
Torfaen,Labour
Trafford,Labour
West Dunbartonshire,Labour
West Lancashire,Labour
West Lothian,Labour
Wigan,Labour
Wirral,Labour
Wolverhampton,Labour
Worcester,Labour
York,Labour
Bath and North East Somerset,Liberal Democrat
Chelmsford,Liberal Democrat
Chichester,Liberal Democrat
Cotswold,Liberal Democrat
Dacorum,Liberal Democrat
Eastbourne,Liberal Democrat
Eastleigh,Liberal Democrat
Guildford,Liberal Democrat
Hinckley and Bosworth,Liberal Democrat
Horsham,Liberal Democrat
Mid Devon,Liberal Democrat
Mole Valley,Liberal Democrat
North Devon,Liberal Democrat
North Norfolk,Liberal Democrat
Oadby and Wigston,Liberal Democrat
Portsmouth,Liberal Democrat
Rutland,Liberal Democrat
South Hams,Liberal Democrat
South Oxfordshire,Liberal Democrat
St Albans,Liberal Democrat
Stockport,Liberal Democrat
Stratford-on-Avon,Liberal Democrat
Surrey Heath,Liberal Democrat
Teignbridge,Liberal Democrat
Three Rivers,Liberal Democrat
Tunbridge Wells,Liberal Democrat
Vale of White Horse,Liberal Democrat
Watford,Liberal Democrat
West Berkshire,Liberal Democrat
West Lindsey,Liberal Democrat
Winchester,Liberal Democrat
Windsor and Maidenhead,Liberal Democrat
Woking,Liberal Democrat
Wokingham,Liberal Democrat
Blackburn with Darwen,Other / NOC
Bradford,Other / NOC
Cambridge,Other / NOC
Cannock Chase,Other / NOC
Coventry,Other / NOC
Exeter,Other / NOC
Hartlepool,Other / NOC
Hyndburn,Other / NOC
"Kingston upon Hull, City of",Other / NOC
Leeds,Other / NOC
Milton Keynes,Other / NOC
Preston,Other / NOC
Redditch,Other / NOC
Solihull,Other / NOC
Southampton,Other / NOC
Swindon,Other / NOC
Tameside,Other / NOC
Worthing,Other / NOC
Carmarthenshire,Plaid Cymru
Ceredigion,Plaid Cymru
Gwynedd,Plaid Cymru
Isle of Anglesey,Plaid Cymru
Barnsley,Reform UK
Calderdale,Reform UK
Gateshead,Reform UK
Sandwell,Reform UK
South Tyneside,Reform UK
Sunderland,Reform UK
Thurrock,Reform UK
Wakefield,Reform UK
Walsall,Reform UK
Clackmannanshire,SNP
Dundee City,SNP
East Ayrshire,SNP
East Dunbartonshire,SNP
Falkirk,SNP
Glasgow City,SNP
Midlothian,SNP
North Ayrshire,SNP
Perth and Kinross,SNP
Renfrewshire,SNP
