year,governing_party,pns,poll_average,pns_minus_poll
1982,Conservative,40.0,35.7,4.299999999999997
1983,Conservative,40.5,44.3,-3.799999999999997
1984,Conservative,37.0,40.666666666666664,-3.6666666666666643
1985,Conservative,32.0,36.225,-4.225000000000001
1986,Conservative,34.0,32.260000000000005,1.7399999999999949
1987,Conservative,40.0,41.035714285714285,-1.0357142857142847
1988,Conservative,40.0,43.3,-3.299999999999997
1989,Conservative,38.0,41.575,-3.575000000000003
1990,Conservative,32.0,31.00769230769231,0.9923076923076906
1991,Conservative,35.0,40.949999999999996,-5.949999999999996
1992,Conservative,45.0,39.575,5.424999999999997
1993,Conservative,30.0,31.725,-1.7250000000000014
1994,Conservative,27.0,26.68,0.3200000000000003
1995,Conservative,25.0,24.833333333333332,0.16666666666666785
1996,Conservative,27.0,27.76,-0.7600000000000016
1997,Conservative,29.0,30.910714285714285,-1.9107142857142847
1998,Labour,37.0,52.800000000000004,-15.800000000000004
1999,Labour,36.0,53.06666666666666,-17.066666666666663
2000,Labour,29.0,48.875,-19.875
2001,Labour,38.0,50.666666666666664,-12.666666666666664
2002,Labour,32.0,46.0,-14.0
2003,Labour,30.0,41.4,-11.399999999999999
2004,Labour,26.0,35.6,-9.600000000000001
2005,Labour,33.0,38.4,-5.399999999999999
2006,Labour,24.0,33.0,-9.0
2007,Labour,24.0,30.714285714285715,-6.714285714285715
2008,Labour,22.0,30.1,-8.100000000000001
2009,Labour,20.0,28.22222222222222,-8.222222222222221
2010,Labour,27.0,28.125,-1.125
2011,Conservative,35.0,35.8,-0.7999999999999972
2012,Conservative,31.0,32.5,-1.5
2013,Conservative,25.0,30.53125,-5.53125
2014,Conservative,29.0,32.93055555555556,-3.930555555555557
2015,Conservative,35.0,33.55714285714286,1.442857142857143
2016,Conservative,30.0,34.875,-4.875
2017,Conservative,38.0,45.57142857142857,-7.571428571428569
2018,Conservative,35.0,41.07692307692308,-6.07692307692308
2019,Conservative,28.0,27.363636363636363,0.6363636363636367
2021,Conservative,36.0,42.28,-6.280000000000001
2022,Conservative,30.0,33.53076923076923,-3.5307692307692307
2023,Conservative,26.0,28.736666666666668,-2.736666666666668
2024,Conservative,25.0,23.435897435897434,1.5641025641025657
2025,Labour,20.0,23.833333333333332,-3.833333333333332
2026,Labour,17.0,16.75,0.25
