year,labour_pns,in_government
1982,30.5,False
1983,34.5,False
1984,37.5,False
1985,37.0,False
1986,37.0,False
1987,30.5,False
1988,40.0,False
1989,42.0,False
1990,40.0,False
1991,36.0,False
1992,30.0,False
1993,40.0,False
1994,42.0,False
1995,46.0,False
1996,43.0,False
1997,40.0,False
1998,37.0,True
1999,36.0,True
2000,29.0,True
2001,38.0,True
2002,32.0,True
2003,30.0,True
2004,26.0,True
2005,33.0,True
2006,24.0,True
2007,24.0,True
2008,22.0,True
2009,20.0,True
2010,27.0,True
2011,36.0,False
2012,38.0,False
2013,29.0,False
2014,31.0,False
2015,29.0,False
2016,31.0,False
2017,27.0,False
2018,35.0,False
2019,28.0,False
2020,,False
2021,29.0,False
2022,35.0,False
2023,35.0,False
2024,34.0,False
2025,20.0,True
2026,17.0,True
