wave,date,GE_wave,nGreen,Green->Lab%,nReform,Reform->Lab%
2,2014-05-28,False,818,8.1,3767,2.5
3,2014-09-25,False,1132,7.6,3760,3.6
4,2015-03-15,False,1183,12.1,3716,4.2
5,2015-04-18,True,1468,11.5,3582,4.2
6,2015-05-10,True,1244,14.2,3072,4.0
7,2016-04-25,False,933,35.2,2499,4.0
8,2016-05-30,False,805,6.7,3503,1.6
9,2016-06-26,False,964,6.8,4348,1.4
10,2016-12-02,False,631,10.1,2105,3.2
11,2017-04-27,True,725,22.3,1997,4.4
12,2017-05-22,True,644,22.0,1186,8.8
13,2017-06-13,True,538,28.3,861,10.5
14,2018-05-11,False,393,7.9,538,4.8
15,2019-03-19,False,525,5.9,706,0.7
16,2019-05-31,False,707,4.0,1469,0.5
17,2019-11-06,True,1268,27.8,4671,1.7
18,2019-11-27,True,671,19.7,2034,3.6
19,2019-12-17,True,644,21.1,1082,4.8
20,2020-06-11,False,493,16.8,394,7.1
21,2021-05-13,False,554,7.6,321,2.2
22,2021-12-03,False,1074,15.0,306,1.3
23,2022-05-13,False,1022,14.9,771,3.2
24,2022-12-08,False,598,20.6,371,3.8
25,2023-05-15,False,419,10.5,632,1.1
26,2024-05-12,False,957,14.4,1025,1.0
27,2024-05-31,True,1118,9.1,2265,1.7
28,2024-06-21,True,1111,8.0,2581,1.0
29,2024-07-08,True,1236,8.1,3383,2.8
30,2025-05-10,False,1177,4.4,2726,0.2
