,National avg,Loyalist,->Green,->Reform
Mean age (indexed 2014),48.0,44.0,41.0,48.0
% male,49.0,54.0,42.0,57.0
% graduate,46.0,66.0,67.0,30.0
% professional/managerial,36.0,49.0,45.0,24.0
% routine/semi-routine,14.0,9.0,11.0,22.0
% white,87.0,84.0,89.0,94.0
VI W30: Con,16.0,0.0,0.0,0.0
VI W30: Lab,23.0,100.0,0.0,0.0
VI W30: Lib Dem,13.0,0.0,0.0,0.0
VI W30: Green,11.0,0.0,100.0,0.0
VI W30: Reform/UKIP,32.0,0.0,0.0,100.0
VI W30: SNP/PC,3.0,0.0,0.0,0.0
VI W30: Other,2.0,0.0,0.0,0.0
VI W30: won't vote/DK %,26.0,0.0,0.0,0.0
