from_wave,to_wave,date,n_lab_base,pct_stay_lab,pct_to_green,pct_to_reform
1,2,2014-05-28,7560,86.4,2.1,3.8
2,3,2014-09-25,6542,84.3,2.2,1.4
3,4,2015-03-15,6122,86.8,2.6,1.4
4,5,2015-04-18,7804,89.7,1.5,1.1
5,6,2015-05-10,7644,91.7,1.6,0.9
6,7,2016-04-25,6114,72.4,1.6,4.0
7,8,2016-05-30,6526,89.2,1.1,1.4
8,9,2016-06-26,7141,76.7,1.7,1.1
9,10,2016-12-02,4202,78.7,1.7,1.3
10,11,2017-04-27,4677,83.0,1.4,0.4
11,12,2017-05-22,5983,92.6,0.5,0.2
12,13,2017-06-13,7508,95.0,0.5,0.2
13,14,2018-05-11,6719,69.8,2.6,1.0
14,15,2019-03-19,5050,67.4,3.3,2.1
15,16,2019-05-31,3765,61.4,6.6,4.1
16,17,2019-11-06,2892,82.2,1.0,1.1
17,18,2019-11-27,4954,91.4,0.8,0.3
18,19,2019-12-17,5633,94.2,0.8,0.1
19,20,2020-06-11,4517,75.2,3.7,0.2
20,21,2021-05-13,4397,69.0,7.3,0.3
21,22,2021-12-03,3984,88.0,2.4,0.2
22,23,2022-05-13,4866,86.2,1.7,0.1
23,24,2022-12-08,3353,90.3,1.1,0.4
24,25,2023-05-15,3470,84.0,2.6,0.4
25,26,2024-05-12,5667,85.2,2.7,2.1
26,27,2024-05-31,6756,89.7,1.2,0.7
27,28,2024-06-21,7234,84.6,2.1,2.0
28,29,2024-07-08,7054,90.7,2.2,0.8
29,30,2025-05-10,5881,49.2,7.0,8.1
