wave,date,election_wave,n_named,Con,Lab,LibDem,Green,UKIP/Reform,SNP/PC,Other,THIRD_PARTY_total,insurgent(Grn+UKIP/Ref)
1,2014-02-25,False,24194,27.4,35.0,6.3,3.9,16.8,8.5,2.2,37.6,20.7
2,2014-05-28,False,25451,26.8,32.7,5.4,5.9,18.8,8.6,1.7,40.4,24.8
3,2014-09-25,False,23316,27.1,31.1,5.3,6.5,18.6,9.7,1.7,41.8,25.1
4,2015-03-15,False,27236,30.3,32.2,6.2,6.1,14.4,9.6,1.1,37.5,20.6
5,2015-04-18,True,27456,30.7,31.9,7.6,5.4,12.8,10.2,1.4,37.3,18.2
6,2015-05-10,True,27691,30.9,31.8,8.7,5.1,11.7,10.1,1.5,37.2,16.9
7,2016-04-25,False,25241,30.0,33.4,6.7,4.2,16.9,7.8,1.1,36.6,21.1
8,2016-05-30,False,27244,29.0,32.3,7.0,4.3,18.9,7.2,1.1,38.7,23.3
9,2016-06-26,False,22543,32.5,29.1,9.0,4.4,15.5,7.8,1.7,38.4,19.8
10,2016-12-02,False,23091,37.7,28.5,10.8,4.4,11.5,6.0,1.1,33.8,15.9
11,2017-04-27,True,26125,44.3,28.6,11.8,3.0,5.4,5.9,1.0,27.1,8.4
12,2017-05-22,True,29831,42.6,33.8,10.2,2.4,4.1,5.9,1.1,23.6,6.5
13,2017-06-13,True,28127,40.1,38.7,9.5,2.2,2.7,5.5,1.3,21.1,4.8
14,2018-05-11,False,24184,41.8,34.8,9.3,3.6,4.3,4.8,1.3,23.4,7.9
15,2019-03-19,False,21258,33.4,28.6,11.0,5.4,10.7,5.4,5.4,38.0,16.1
16,2019-05-31,False,28397,17.1,18.1,20.7,8.6,27.3,5.0,3.2,64.8,35.9
17,2019-11-06,True,27618,38.4,24.9,17.4,3.6,9.7,4.8,1.1,36.7,13.3
18,2019-11-27,True,32231,43.3,27.4,14.6,3.1,5.2,5.0,1.5,29.3,8.3
19,2019-12-17,True,28637,44.9,29.4,12.7,3.2,2.7,5.1,2.0,25.6,5.9
20,2020-06-11,False,23751,43.4,37.4,5.9,4.5,2.5,5.1,1.1,19.2,7.0
21,2021-05-13,False,23179,46.8,28.7,7.0,8.2,2.1,5.7,1.6,24.6,10.3
22,2021-12-03,False,19913,36.5,35.0,7.9,7.5,5.2,5.6,2.3,28.6,12.8
23,2022-05-13,False,22933,33.8,36.9,11.3,6.6,3.7,5.4,2.3,29.3,10.3
24,2022-12-08,False,10676,26.2,45.6,8.0,5.5,7.9,5.0,1.8,28.2,13.4
25,2023-05-15,False,22065,27.4,41.4,10.9,6.9,6.5,4.2,2.7,31.2,13.4
26,2024-05-12,False,22434,22.1,42.1,9.1,6.9,13.4,3.9,2.6,35.8,20.3
27,2024-05-31,True,24020,23.2,41.3,9.7,6.8,13.1,3.8,2.2,35.5,19.8
28,2024-06-21,True,26104,21.7,36.0,11.8,6.2,17.4,4.2,2.6,42.3,23.7
29,2024-07-08,True,26655,21.2,35.7,13.6,7.4,15.2,3.6,3.4,43.2,22.6
30,2025-05-10,False,23235,14.8,23.2,14.1,10.6,31.1,4.0,2.2,62.0,41.7
