ward_code,dLab,dGrn,dRef,lab_base,lab_2026,grn_base,grn_2026,ref_base,ref_2026
E05011142,-64.6,34.99,4.67,83.4,18.8,5.67,40.66,0.0,4.67
E05011155,-63.99,13.18,9.74,88.84,24.85,0.0,13.18,0.0,9.74
E05014067,-59.93,25.88,36.0,88.31,28.39,0.0,25.88,0.0,36.0
E05014128,-58.93,5.77,54.48,90.84,31.91,0.0,5.77,0.0,54.48
E05011182,-57.2,13.9,16.1,74.46,17.25,6.6,20.49,0.0,16.1
E05014136,-53.77,18.63,43.19,89.36,35.59,0.0,18.63,0.0,43.19
E05014061,-53.03,38.21,10.24,89.01,35.98,0.0,38.21,0.0,10.24
E05011240,-52.48,17.48,2.33,84.2,31.72,0.0,17.48,0.0,2.33
E05011170,-50.83,19.33,2.66,69.94,19.11,2.54,21.87,0.0,2.66
E05014062,-49.51,14.18,42.04,78.06,28.55,0.0,14.18,0.0,42.04
E05011128,-48.85,51.75,7.18,66.6,17.75,13.45,65.2,0.0,7.18
E05014058,-48.82,18.76,27.24,87.94,39.13,0.0,18.76,0.0,27.24
E05014069,-48.72,9.74,37.86,88.24,39.52,0.0,9.74,0.0,37.86
E05014064,-48.53,35.18,10.77,79.61,31.08,0.0,35.18,0.0,10.77
E05014057,-48.38,20.18,27.38,86.41,38.03,0.0,20.18,0.0,27.38
E05011131,-47.77,11.57,17.57,77.36,29.59,3.36,14.93,0.0,17.57
E05013895,-47.13,63.52,2.11,74.27,27.14,0.0,63.52,0.0,2.11
E05011247,-46.82,25.28,5.06,82.19,35.37,0.0,25.28,0.0,5.06
E05011120,-46.57,7.98,1.85,81.77,35.2,0.0,7.98,0.0,1.85
E05013569,-45.04,7.64,17.63,76.36,31.32,0.0,7.64,0.0,17.63
E05005213,-44.84,0.0,36.89,44.84,0.0,0.0,0.0,0.0,36.89
E05011246,-44.6,8.92,10.8,76.55,31.95,0.0,8.92,0.0,10.8
E05011244,-44.39,18.18,10.23,76.49,32.1,0.0,18.18,0.0,10.23
E05011125,-44.37,16.53,4.91,78.99,34.62,0.0,16.53,0.0,4.91
E05011248,-44.32,17.18,9.37,78.61,34.29,0.0,17.18,0.0,9.37
E05011138,-43.34,13.71,28.6,64.99,21.65,0.0,13.71,0.0,28.6
E05011153,-43.02,1.99,1.8,70.73,27.71,4.27,6.26,0.0,1.8
E05011127,-42.84,12.54,3.42,67.84,25.0,0.0,12.54,0.0,3.42
E05011147,-42.68,15.01,4.18,76.43,33.75,0.0,15.01,0.0,4.18
E05011140,-42.64,38.72,12.27,55.02,12.38,4.62,43.34,0.0,12.27
E05014071,-42.49,9.96,23.35,87.19,44.7,0.0,9.96,0.0,23.35
E05013514,-42.17,8.89,8.55,60.28,18.11,0.0,8.89,0.0,8.55
E05014060,-41.92,27.09,26.77,74.29,32.37,0.0,27.09,0.0,26.77
E05013914,-41.86,2.78,5.89,70.75,28.89,14.15,16.93,0.0,5.89
E05013662,-41.44,41.58,10.12,71.91,30.48,0.0,41.58,0.0,10.12
E05011151,-41.19,29.48,12.52,67.2,26.01,7.75,37.23,0.0,12.52
E05011173,-41.06,8.96,23.24,63.78,22.72,5.87,14.83,0.0,23.24
E05011165,-40.95,5.93,51.28,60.78,19.83,7.12,13.04,0.0,51.28
E05013510,-40.9,17.42,7.82,78.32,37.42,5.78,23.2,0.0,7.82
E05014065,-40.85,22.48,32.74,77.18,36.33,0.0,22.48,0.0,32.74
E05011237,-40.84,14.48,9.27,65.3,24.46,6.3,20.78,0.0,9.27
E05013910,-40.79,5.04,10.18,67.91,27.12,12.8,17.84,0.0,10.18
E05011145,-40.78,13.7,5.88,79.81,39.03,0.0,13.7,0.0,5.88
E05014089,-40.74,37.75,12.72,68.24,27.49,8.92,46.67,1.67,14.39
E05013694,-40.55,12.94,9.94,73.21,32.66,3.57,16.51,0.0,9.94
E05013919,-40.06,3.86,8.89,61.95,21.89,16.56,20.42,0.0,8.89
E05011432,-39.93,22.1,28.3,68.14,28.21,0.0,22.1,0.0,28.3
E05013533,-39.9,2.86,7.53,72.33,32.43,4.84,7.69,0.0,7.53
E05014135,-39.74,-4.25,46.17,78.22,38.48,11.87,7.62,0.0,46.17
E05014054,-39.71,0.0,39.28,82.76,43.04,0.0,0.0,0.0,39.28
E05011251,-39.68,10.63,6.16,68.68,28.99,0.0,10.63,0.0,6.16
E05014066,-39.58,20.69,11.46,79.34,39.76,13.91,34.6,0.0,11.46
E05013595,-39.24,44.68,5.42,74.28,35.04,0.0,44.68,0.0,5.42
E05013887,-38.9,47.55,7.03,67.11,28.22,8.03,55.57,0.0,7.03
E05013601,-38.8,44.53,1.97,72.55,33.75,8.63,53.17,0.0,1.97
E05013591,-38.48,41.39,1.88,65.99,27.51,19.63,61.01,0.0,1.88
E05011421,-38.43,27.64,17.3,68.6,30.17,0.0,27.64,0.0,17.3
E05011171,-38.35,25.12,3.09,77.63,39.28,0.0,25.12,0.0,3.09
E05011253,-38.32,9.98,6.67,72.67,34.35,0.0,9.98,0.0,6.67
E05011110,-38.15,44.39,1.96,81.02,42.87,0.0,44.39,0.0,1.96
E05011172,-37.92,30.61,16.36,72.66,34.73,8.76,39.37,0.0,16.36
E05013583,-37.78,5.06,21.33,69.51,31.73,0.0,5.06,0.0,21.33
E05014091,-37.35,19.32,15.41,69.99,32.63,8.97,28.29,0.0,15.41
E05013882,-37.32,43.18,5.04,71.33,34.01,8.31,51.49,0.0,5.04
E05013918,-37.13,3.54,4.14,67.79,30.66,16.29,19.83,0.0,4.14
E05013909,-37.12,7.52,2.96,63.42,26.31,14.31,21.83,0.0,2.96
E05013624,-37.03,1.13,17.16,64.93,27.9,5.36,6.49,0.0,17.16
E05013682,-36.83,2.84,12.32,67.63,30.8,6.45,9.29,0.0,12.32
E05006638,-36.81,-8.35,23.64,39.75,2.94,12.27,3.93,0.0,23.64
E05013619,-36.76,1.28,8.71,71.92,35.16,6.02,7.3,0.0,8.71
E05011168,-36.69,23.58,9.69,72.65,35.96,7.56,31.14,0.0,9.69
E05013602,-36.58,40.68,2.09,71.51,34.93,11.28,51.96,0.0,2.09
E05014137,-36.57,7.04,39.08,70.02,33.44,17.07,24.11,0.0,39.08
E05013903,-36.5,39.93,5.74,79.14,42.64,0.0,39.93,0.0,5.74
E05011241,-36.23,6.23,5.14,64.69,28.46,0.0,6.23,0.0,5.14
E05013516,-36.21,33.2,10.7,63.21,26.99,0.0,33.2,0.0,10.7
E05013916,-36.2,9.81,5.27,71.62,35.42,11.61,21.41,0.0,5.27
E05011124,-36.04,36.73,22.54,52.61,16.57,7.79,44.52,1.18,23.72
E05013576,-36.01,6.97,17.78,77.0,40.99,0.0,6.97,0.0,17.78
E05013598,-36.0,38.11,5.31,72.69,36.69,11.19,49.3,0.0,5.31
E05013896,-35.88,46.44,2.32,65.2,29.33,7.61,54.04,0.0,2.32
E05013507,-35.86,13.09,5.89,62.51,26.65,7.32,20.41,0.0,5.89
E05011126,-35.82,16.86,7.65,57.28,21.45,8.17,25.03,0.0,7.65
E05014088,-35.78,23.03,21.79,65.52,29.74,12.18,35.21,0.0,21.79
E05013795,-35.74,36.04,8.67,75.22,39.48,0.0,36.04,0.0,8.67
E05013913,-35.52,4.28,2.84,68.51,32.98,13.66,17.94,0.0,2.84
E05013926,-35.48,2.66,3.8,59.78,24.31,10.36,13.03,1.04,4.84
E05013892,-35.43,30.34,6.67,72.69,37.27,8.83,39.17,0.0,6.67
E05014121,-35.38,-7.08,48.1,67.24,31.86,24.99,17.91,0.0,48.1
E05013654,-35.37,36.02,7.43,76.63,41.26,0.0,36.02,0.0,7.43
E05011529,-35.15,13.42,23.19,63.59,28.44,0.0,13.42,0.0,23.19
E05013905,-34.91,0.51,2.03,62.15,27.24,18.47,18.99,0.0,2.03
E05013617,-34.81,2.41,15.37,67.96,33.15,5.95,8.36,0.0,15.37
E05013917,-34.79,18.1,8.76,64.11,29.33,17.36,35.46,0.0,8.76
E05013503,-34.68,33.29,9.09,68.02,33.34,7.59,40.88,0.0,9.09
E05011122,-34.66,29.05,5.25,51.8,17.14,5.45,34.5,0.0,5.25
E05013582,-34.41,21.24,17.58,66.96,32.55,0.0,21.24,0.0,17.58
E05013604,-34.26,39.53,10.73,68.27,34.01,0.0,39.53,0.0,10.73
E05013669,-34.25,0.0,13.99,71.35,37.09,0.0,0.0,0.0,13.99
E05013891,-34.22,42.04,4.69,69.71,35.49,10.79,52.83,0.0,4.69
E05013921,-34.22,4.42,2.85,56.38,22.16,10.54,14.96,0.0,2.85
E05013509,-34.07,24.93,8.66,79.05,44.99,6.17,31.1,0.0,8.66
E05014126,-34.05,10.11,33.87,69.12,35.08,0.0,10.11,0.0,33.87
E05013603,-34.0,19.39,4.01,78.14,44.14,0.0,19.39,0.0,4.01
