age,population,share
0,667994.0,0.00964174573919418
1,690113.0,0.009961008747552392
2,732532.0,0.010573279535180542
3,728400.0,0.010513638739912396
4,755117.0,0.010899268731969286
5,769993.0,0.011113987142039216
6,779267.0,0.011247846952135244
7,797192.0,0.011506574264618675
8,819098.0,0.011822762856376666
9,813307.0,0.011739176252940596
10,816457.0,0.01178464297731007
11,835063.0,0.012053199762585756
12,854833.0,0.012338557585057018
13,854532.0,0.012334212986950603
14,843967.0,0.012181719036803465
15,838259.0,0.012099330445469831
16,845961.0,0.01221050019502338
17,817099.0,0.011793909528752991
18,806916.0,0.0116469293210532
19,818350.0,0.011811966313574009
20,821170.0,0.011852669857295252
21,818799.0,0.011818447126031754
22,823027.0,0.011879473573852113
23,839316.0,0.01211458705742492
24,863943.0,0.012470050238709686
25,892223.0,0.012878240386382286
26,905498.0,0.013069850153367922
27,923421.0,0.013328548598089846
28,909004.0,0.013120455339285183
29,918824.0,0.01326219604827192
30,940405.0,0.013573693628785442
31,941624.0,0.013591288529422391
32,965013.0,0.013928882566335914
33,976481.0,0.0140944103108023
34,973104.0,0.014045667095502075
35,965382.0,0.013934208668333482
36,974673.0,0.014068313854402298
37,952137.0,0.013743031917770413
38,944946.0,0.013639237881281244
39,938632.0,0.013548102358211767
40,908350.0,0.013111015581273235
41,907303.0,0.013095903308125666
42,899769.0,0.01298715845053849
43,906682.0,0.013086939868178542
44,907018.0,0.013091789652111286
45,868755.0,0.012539506072889338
46,806022.0,0.01163402543166072
47,790242.0,0.01140625879339079
48,806960.0,0.011647564411806297
49,821405.0,0.011856061819272023
50,831075.0,0.011995637446145927
51,862822.0,0.012453869858386453
52,894577.0,0.012912217741672997
53,927472.0,0.013387020249017063
54,904147.0,0.01305034998047168
55,924411.0,0.013342838140034537
56,921696.0,0.013303650153792278
57,925871.0,0.01336391160593277
58,920651.0,0.013288566748406214
59,924094.0,0.013338262599836085
60,910372.0,0.013140200888154211
61,888080.0,0.012818440818425866
62,863911.0,0.012469588354525614
63,830550.0,0.011988059658751016
64,795464.0,0.011481632518678848
65,772753.0,0.011153824652915326
66,748741.0,0.010807238308293173
67,713842.0,0.01030351030392167
68,683935.0,0.009871836232265218
69,653386.0,0.009430895609165843
70,648219.0,0.009356315747319155
71,632318.0,0.009126802609478207
72,606812.0,0.008758652047012247
73,604393.0,0.008723736489472642
74,605012.0,0.008732671061658263
75,611491.0,0.008826188175051854
76,634565.0,0.00915923553952843
77,673831.0,0.009725996301144851
78,505224.0,0.00729234296915637
79,476740.0,0.006881208309810318
80,461977.0,0.006668120928265388
81,414914.0,0.005988819198423959
82,357410.0,0.005158813319648667
83,305273.0,0.0044062740788705064
84,300816.0,0.00434194227235789
85,281337.0,0.004060784709185521
86,256103.0,0.003696560162284163
87,224742.0,0.0032438992280139915
88,195365.0,0.0028198751131562126
89,167231.0,0.0024137923120734345
90,625236.0,0.009024581865991031
