SURVEY_ID,SURVEY_DATE,VI_QUESTION,DEMOGRAPHIC_TYPE,DEMOGRAPHIC_VALUE,RESPONDENT_N,WEIGHTED_BASE,WEIGHTED_LABOUR,WEIGHTED_REFORM,LABOUR_VI_PCT,REFORM_VI_PCT,LABOUR_MINUS_REFORM_LEAD_PCT,WEIGHTING_METHOD
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,18-24,143,143.0,59.0,13.0,41.25874125874126,9.090909090909092,32.16783216783217,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,25-34,242,242.0,121.0,23.0,50.0,9.50413223140496,40.49586776859504,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,35-44,346,346.0,162.0,33.0,46.820809248554916,9.53757225433526,37.283236994219656,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,45-54,384,384.0,139.0,67.0,36.197916666666664,17.447916666666668,18.749999999999996,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,55-64,412,412.0,130.0,73.0,31.553398058252426,17.718446601941746,13.83495145631068,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,age_band,65+,521,521.0,131.0,97.0,25.143953934740882,18.618042226487525,6.525911708253357,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,education_level,High school/College,602,602.0,193.0,113.0,32.05980066445183,18.770764119601328,13.2890365448505,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,education_level,Postgraduate Education,266,266.0,111.0,30.0,41.72932330827068,11.278195488721805,30.451127819548873,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,education_level,Primary school,8,8.0,3.0,0.0,37.5,0.0,37.5,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,education_level,Secondary school,483,483.0,155.0,104.0,32.091097308488614,21.532091097308488,10.559006211180126,survey_weight_with_ons_age_within_band_adjustment
FD_20240729_UK_Tm69,2024-07-29,If there was a general election tomorrow - who would you vote for?,education_level,University/Higher Education,689,689.0,280.0,59.0,40.638606676342526,8.563134978229318,32.075471698113205,survey_weight_with_ons_age_within_band_adjustment
