ons,la,ra_class,treatment_group,reform_control,govt_type,control_quality,Adult social care,Central services,Children's social care,Council tax requirement,Cultural & related,Education,Environmental & regulatory,Fire & rescue,Highways & transport,Housing (non-HRA),Net current expenditure,Other services,Planning & development,Police,Public health,Revenue expenditure,TOTAL service expenditure
E06,Unitary Authorities,UA,control_candidate,none,unitary,same_type_non_reform,8550656.0,857819.0,5144643.0,11851151.0,689974.0,12252894.0,2146957.0,60775.0,832290.0,790862.0,36575632.0,305568.0,347781.0,0.0,1277330.0,34122078.0,33257547.0
E06000001,Hartlepool,UA,control_candidate,none,unitary,same_type_non_reform,50580.0,8588.0,55847.0,57403.0,6309.0,71112.0,13183.0,0.0,6968.0,3139.0,252034.0,0.0,1250.0,0.0,12082.0,230546.0,229058.0
E06000002,Middlesbrough,UA,control_candidate,none,unitary,same_type_non_reform,80154.0,8647.0,80771.0,78459.0,5480.0,99710.0,22015.0,0.0,5911.0,7319.0,382019.0,10912.0,1630.0,0.0,27775.0,346162.0,350324.0
E06000003,Redcar & Cleveland,UA,control_candidate,none,unitary,same_type_non_reform,68561.0,10174.0,73877.0,89036.0,5381.0,69979.0,19239.0,0.0,13198.0,1882.0,306458.0,0.0,2790.0,0.0,16225.0,287113.0,281306.0
E06000004,Stockton-on-Tees,UA,control_candidate,none,unitary,same_type_non_reform,93399.0,7832.0,78468.0,135319.0,8794.0,130627.0,23338.0,0.0,12765.0,9889.0,420954.0,1143.0,3610.0,0.0,20257.0,402143.0,390122.0
E06000005,Darlington,UA,control_candidate,none,unitary,same_type_non_reform,57818.0,9590.0,43509.0,74631.0,7716.0,54150.0,13419.0,0.0,6635.0,3532.0,225801.0,-1700.0,1516.0,0.0,11689.0,212323.0,207874.0
E06000006,Halton,UA,control_candidate,none,unitary,same_type_non_reform,89370.0,7608.0,74268.0,72266.0,12666.0,187224.0,13636.0,0.0,21481.0,3441.0,463774.0,5285.0,2317.0,0.0,15035.0,395049.0,432331.0
E06000007,Warrington,UA,control_candidate,none,unitary,same_type_non_reform,133290.0,27951.0,59609.0,150703.0,13023.0,149916.0,21069.0,0.0,10663.0,4886.0,475987.0,1425.0,1312.0,0.0,15954.0,409139.0,439098.0
E06000008,Blackburn with Darwen,UA,control_candidate,none,unitary,same_type_non_reform,89959.0,7078.0,70749.0,79098.0,8945.0,163126.0,17832.0,0.0,5474.0,6201.0,431605.0,4149.0,6329.0,0.0,20439.0,423364.0,400281.0
E06000009,Blackpool,UA,control_candidate,none,unitary,same_type_non_reform,88784.0,-136.0,79893.0,83932.0,10004.0,82595.0,25122.0,0.0,10096.0,5608.0,343327.0,2908.0,-17014.0,0.0,26034.0,330042.0,313894.0
E06000010,Kingston upon Hull,UA,control_candidate,none,unitary,same_type_non_reform,154196.0,15587.0,102114.0,125911.0,23481.0,147401.0,45327.0,0.0,17143.0,16907.0,633597.0,6449.0,7227.0,0.0,34313.0,575989.0,570145.0
E06000011,East Riding of Yorkshire,UA,control_candidate,none,unitary,same_type_non_reform,187080.0,11331.0,79000.0,265407.0,20699.0,295048.0,51460.0,0.0,23344.0,4931.0,762038.0,6948.0,6238.0,0.0,17265.0,702850.0,703344.0
E06000012,North East Lincolnshire,UA,control_candidate,none,unitary,same_type_non_reform,77241.0,17857.0,61755.0,97369.0,6308.0,91903.0,17556.0,0.0,14552.0,8147.0,349175.0,2204.0,1468.0,0.0,20676.0,319070.0,319667.0
E06000013,North Lincolnshire,UA,control_candidate,none,unitary,same_type_non_reform,88246.0,8274.0,42781.0,101073.0,12796.0,161916.0,27976.0,0.0,12323.0,8032.0,415122.0,926.0,3567.0,0.0,13628.0,384984.0,380465.0
E06000014,York,UA,control_candidate,none,unitary,same_type_non_reform,95247.0,14000.0,32673.0,128387.0,5909.0,120071.0,19022.0,0.0,3691.0,7977.0,336190.0,0.0,4631.0,0.0,11507.0,314934.0,314728.0
E06000015,Derby,UA,control_candidate,none,unitary,same_type_non_reform,100774.0,7993.0,98281.0,140195.0,10160.0,216869.0,32486.0,0.0,12155.0,8871.0,590213.0,18514.0,4123.0,0.0,27694.0,564718.0,537920.0
E06000016,Leicester,UA,control_candidate,none,unitary,same_type_non_reform,231813.0,19219.0,116849.0,177954.0,18481.0,365190.0,36861.0,0.0,16820.0,30790.0,943505.0,3593.0,3777.0,0.0,39176.0,904208.0,882569.0
E06000017,Rutland,UA,control_candidate,none,unitary,same_type_non_reform,21247.0,4900.0,9175.0,38241.0,1207.0,23976.0,6984.0,0.0,4351.0,1405.0,81793.0,0.0,1807.0,0.0,1704.0,81517.0,76756.0
