council,saving_ref,description,service_area,amount_000_2026_27,amount_000_full_mtfs,f1_new_vs_carried,f2_type,f3_statutory_vs_discretionary,f4_shows_in_ra,f5_delivery_rag,reform_attributable,notes
Derbyshire,,Low Level Support Services - review of discretionary services,Adult social care,0.0,900.0,carried_forward,cashable,statutory,tbd,,no,Prior-years ongoing (pre-Reform MTFP). £0 in 2026-27; £0.900m lands 2027-28.
Derbyshire,,LD Day Centres - remodel of LD day services (3rd year of 3-yr saving),Adult social care,728.0,728.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,LDA / redesign of central teams - supported living review (3rd year),Adult social care,1100.0,1100.0,carried_forward,cashable,statutory,tbd,,no,Inherited 3-yr saving.
Derbyshire,,Older Adults Residential Care - review & remodel (final year of 2-yr),Adult social care,1302.0,1302.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,Fees & Charges - annual uplift on non-means-tested charges,Adult social care,20.0,100.0,carried_forward,income,statutory,tbd,,no,Recurring income uplift.
Derbyshire,,LD Short Breaks - remodel (3rd year of 3-yr saving),Adult social care,652.0,652.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,Older Adults Day Centres - remodel (3rd year),Adult social care,915.0,915.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,Transport Eligibility & Charging - review of provision & charging,Adult social care,200.0,200.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,Digital Care & Support Planning - automation tool,Adult social care,125.0,125.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,System Transformation Implementation - health & social care operating review,Adult social care,2120.0,7120.0,carried_forward,cashable,statutory,tbd,,no,Inherited; +£5.0m 2027-28.
Derbyshire,,Further Direct Care Transformation - remodel older people's care,Adult social care,1750.0,2000.0,carried_forward,cashable,statutory,tbd,,no,Inherited.
Derbyshire,,Supplies & Third-Party Payments - saving NOT achievable,Adult social care,-422.0,-422.0,carried_forward,cashable,statutory,tbd,,no,NEGATIVE line: prior saving now unachievable.
Derbyshire,,Children's Centre Review (CSSE 2024-25 proposal),Children's social care,2167.0,10835.0,carried_forward,cashable,statutory,tbd,,no,Inherited 2024-25 proposal.
Derbyshire,,"Review of Educational Psychology Service (traded model, CSSE 2024-25)",Education,500.0,2500.0,carried_forward,income,statutory,tbd,,no,Inherited; traded/income model.
Derbyshire,,HR Team efficiency - reduce staffing budgets where vacant roles no longer required,Central services,295.0,295.0,carried_forward,cashable,discretionary,tbd,,no,DOGE-relevant: delete vacant HR staffing budgets. Inherited.
Derbyshire,,Reduce maintenance linked to Disposal Programme,Central services,24.0,120.0,carried_forward,cashable,discretionary,tbd,,no,Property maintenance.
Derbyshire,,Review & improve rent roll,Central services,50.0,50.0,carried_forward,income,discretionary,tbd,,no,Property income.
Derbyshire,,Review Facilities Management - deletion of vacant posts,Central services,50.0,50.0,carried_forward,cashable,discretionary,tbd,,no,DOGE-relevant: delete vacant posts.
Derbyshire,,Business Rates - review rateable values for all assets,Central services,50.0,50.0,carried_forward,cashable,discretionary,tbd,,no,Property cost reduction.
Derbyshire,,Reduce management costs of industrial estates & review rents,Central services,32.0,32.0,carried_forward,cashable,discretionary,tbd,,no,Management cost reduction.
Derbyshire,,Concession rents review,Central services,5.0,5.0,carried_forward,income,discretionary,tbd,,no,Property income.
Derbyshire,,Street lighting - convert illuminated signs & bollards to LED/non-illuminated,Highways & transport,15.0,45.0,carried_forward,cashable,discretionary,tbd,,no,Energy saving.
Derbyshire,,Countryside Service Strategy - new income streams & fees review,Cultural & related,61.0,133.0,carried_forward,income,discretionary,tbd,,no,Income generation.
Derbyshire,,Markham Vale Business Park - review long-term options,Planning & development,63.0,63.0,carried_forward,cashable,discretionary,tbd,,no,Economic-development asset review.
Derbyshire,,Library & Heritage Strategy - modernise/rationalise library & heritage services,Cultural & related,312.0,625.0,carried_forward,cashable,discretionary,tbd,,no,Library transformation.
Derbyshire,,Economic Development - remove two vacant posts; EMCCA shared activity,Planning & development,61.0,61.0,carried_forward,cashable,discretionary,tbd,,no,DOGE-relevant: remove two vacant posts; EMCCA devolution.
Derbyshire,,Visit Peak District & Derbyshire - phased reduction in tourism-body funding,Planning & development,50.0,50.0,carried_forward,cashable,discretionary,tbd,,no,Cut to external tourism subsidy.
Derbyshire,,Senior management savings from EMCCA transfer & 'One Council' (Place),Central services,150.0,150.0,carried_forward,cashable,discretionary,tbd,,no,DOGE-relevant: senior-management reduction ('One Council'). Inherited.
Derbyshire,,Home care fee review from Jul 26 - review of home-care fee rates,Adult social care,2000.0,2000.0,new,cashable,statutory,tbd,,yes,New: reduce home-care fee rates paid to providers.
Derbyshire,,Residential Care Brokerage - source independent-sector placements,Adult social care,350.0,350.0,new,cashable,statutory,tbd,,yes,New proposal.
Derbyshire,,Community Support Beds - single operating model improvements,Adult social care,1700.0,1700.0,new,cost_avoidance,statutory,tbd,,yes,New; remodel of community support beds. Press-flagged.
Derbyshire,,Discharge Assessment & Review Team - all discharge-to-assess pathways,Adult social care,250.0,250.0,new,cost_avoidance,statutory,tbd,,yes,New proposal.
Derbyshire,,Further rollout of technology-enabled care,Adult social care,618.0,618.0,new,cost_avoidance,statutory,tbd,,yes,New; digital/tech-enabled care.
Derbyshire,,Review of Quality & Compliance Team - resourcing review,Adult social care,67.0,67.0,new,cashable,statutory,tbd,,yes,New; staffing reduction.
Derbyshire,,Domestic Abuse Grant becomes service-specific grant (moved into ASC),Adult social care,1911.0,1911.0,new,income,statutory,tbd,,no,Technical grant reclassification (external funding substitution).
Derbyshire,,CST corporate target - service redesign & remove long-term vacancies,Central services,2400.0,2400.0,new,cashable,discretionary,tbd,,partial,DOGE-relevant: unallocated corporate target via redesign & delete vacancies.
Derbyshire,,Closure of Glossop HWRC - close 1 of 9 household waste recycling centres,Environmental & regulatory,120.0,360.0,new,cashable,discretionary,tbd,,yes,New service reduction (facility closure). Press-flagged.
Derbyshire,,Recycling Credit reduction - withdraw discretionary payments to voluntary/charitable groups,Environmental & regulatory,11.0,11.0,new,cashable,discretionary,tbd,,yes,New; withdraw discretionary payments to voluntary groups.
Derbyshire,,Simpler Recycling - separate food/garden waste,Environmental & regulatory,1128.0,1336.0,new,cashable,discretionary,tbd,,partial,Driven by national Simpler Recycling legislation.
Derbyshire,,Place corporate target - service redesign & manage staffing vacancies,Central services,500.0,500.0,new,cashable,discretionary,tbd,,partial,DOGE-relevant: unallocated Place-wide target.
Derbyshire,,"Corporate Debt Charges - lower borrowing, lower interest costs",Central services,6043.0,6043.0,new,cashable,discretionary,tbd,,no,Technical treasury saving (market-driven).
Derbyshire,,Corporate Other savings,Central services,468.0,468.0,new,unclear,discretionary,tbd,,partial,Unspecified other corporate savings.
Derbyshire,,Corporate Risk Management Budget - brought-forward balance offsets payroll pressure,Central services,5416.0,5416.0,new,cashable,discretionary,tbd,,partial,One-off use of reserve balance; technical budget management.
Derbyshire,,Corporate MRP contribution not made,Central services,4241.0,4241.0,new,cashable,discretionary,tbd,,no,Technical capital-financing (MRP) adjustment.
Derbyshire,,Corporate reduction in Pension contribution (triennial valuation),Central services,5800.0,5800.0,new,cashable,discretionary,tbd,,no,Actuarial pension valuation outcome.
Derbyshire,,Operating Model Saving,Central services,2500.0,2500.0,new,cashable,discretionary,tbd,,partial,DOGE-relevant: unallocated 'operating model'/One Council target.
Derbyshire,,Public Health - efficiencies in non-mandated contracts & grant substitution,Public health,733.0,733.0,new,income,statutory,tbd,,partial,One-off; grant substitution from ring-fenced PH Grant.
Derbyshire,,"Extended Producer Responsibility income (Govt grant, 'not a saving')",Environmental & regulatory,6700.0,6700.0,new,income,discretionary,tbd,,no,One-off national EPR grant income; council states it is not a genuine saving.
Kent,,ASC service redesign,Adult social care,8086.5,,new,cost_avoidance,statutory,tbd,,yes,
Kent,,ASC service redesign,Adult social care,3591.3,,new,cost_avoidance,statutory,tbd,,yes,
Kent,,ASC service redesign,Adult social care,985.8,,new,cost_avoidance,statutory,tbd,,yes,
