ons_code,la_name,ra_class,treatment_group,reform_control,wave,first_reform_budget,govt_type,lgr_status,control_quality
E08000038,Barnsley,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000025,Birmingham,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000001,Bolton,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000032,Bradford,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000002,Bury,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000033,Calderdale,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000026,Coventry,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000027,Dudley,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000037,Gateshead,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000034,Kirklees,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000011,Knowsley,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000035,Leeds,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000012,Liverpool,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000003,Manchester,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08,Metropolitan Districts,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000021,Newcastle upon Tyne,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000022,North Tyneside,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000004,Oldham,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000005,Rochdale,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000018,Rotherham,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000006,Salford,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000028,Sandwell,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000014,Sefton,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000039,Sheffield,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000029,Solihull,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000023,South Tyneside,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000013,St Helens,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000007,Stockport,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000024,Sunderland,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000008,Tameside,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000009,Trafford,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000036,Wakefield,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000030,Walsall,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000010,Wigan,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000015,Wirral,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E08000031,Wolverhampton,MD,control_candidate,none,,,met_borough,stable,same_type_non_reform
E10000003,Cambridgeshire,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E10000008,Devon,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E10000013,Gloucestershire,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E10000015,Hertfordshire,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E10000025,Oxfordshire,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E10,Shire Counties,SC,control_candidate,none,,,shire_county,two_tier_reorganising,clean_2025_shire_county
E06000022,Bath & North East Somerset,UA,control_candidate,none,,,unitary,stable_unitary,same_type_non_reform
E06000055,Bedford,UA,control_candidate,none,,,unitary,stable_unitary,same_type_non_reform
E06000008,Blackburn with Darwen,UA,control_candidate,none,,,unitary,stable_unitary,same_type_non_reform
E06000009,Blackpool,UA,control_candidate,none,,,unitary,stable_unitary,same_type_non_reform
