,treated_share_chg_pp,control_share_chg_pp,DiD_share_pp,treated_growth_%,control_growth_%,DiD_growth_pp,treated_n_cut,target
Planning & development,-0.08,0.2,-0.28,-3.37,31.54,-34.91,6,True
Highways & transport,-0.52,-0.12,-0.39,-10.13,5.21,-15.34,3,True
Education,0.65,1.54,-0.89,9.97,13.08,-3.1,3,False
Housing (non-HRA),-0.07,-0.03,-0.04,-4.36,-1.32,-3.04,3,False
Environmental & regulatory,-0.17,-0.12,-0.05,3.76,5.96,-2.2,4,True
Children's social care,0.19,-0.14,0.33,9.52,8.36,1.17,2,False
Cultural & related,-0.09,-0.09,-0.0,-1.17,-2.83,1.65,4,True
Adult social care,-0.11,-0.95,0.84,8.02,5.32,2.7,4,False
Public health,-0.01,-0.12,0.11,8.51,5.1,3.41,3,False
Central services,0.27,-0.11,0.39,33.75,0.24,33.51,2,True
