LAD24CD,LAD24NM,Population (mid-2024 estimates),Total funding (current prices),Per capita funding,Per capita funding (exc. outliers - islands and the Highlands),Per capita funding from Conservative governments,Per capita funding from Labour governments,Per capita funding from Conservative governments per year in power,Per capita funding from Labour governments per year in power
W06000006,Wrexham,"138,245","£145,746,754","£1,054","£1,054",£838,£216,£64,£108
W06000012,Neath Port Talbot,"143,249","£147,876,927","£1,032","£1,032",£812,£220,£62,£110
W06000001,Isle of Anglesey,"69,097","£67,782,494",£981,£981,£898,£83,£69,£41
E06000001,Hartlepool,"98,180","£95,660,450",£974,£974,£755,£219,£58,£109
W06000019,Blaenau Gwent,"67,873","£64,027,855",£943,£943,£561,£383,£43,£191
E06000009,Blackpool,"144,191","£134,985,129",£936,£936,£787,£149,£61,£75
E07000170,Ashfield,"129,572","£120,495,342",£930,£930,£764,£166,£59,£83
E07000136,Boston,"71,080","£66,013,654",£929,£929,£626,£302,£48,£151
E07000121,Lancaster,"145,006","£132,416,591",£913,£913,£775,£138,£60,£69
E06000063,Cumberland,"280,495","£253,653,477",£904,£904,£678,£226,£52,£113
W06000004,Denbighshire,"98,202","£87,925,470",£895,£895,£616,£280,£47,£140
W06000024,Merthyr Tydfil,"58,972","£51,805,478",£878,£878,£448,£430,£34,£215
N09000001,Antrim and Newtownabbey,148100,"£129,215,088",£872,£872,£849,£24,£65,£12
E07000138,Lincoln,"105,114","£91,675,987",£872,£872,£682,£190,£52,£95
E06000005,Darlington,"112,489","£96,184,499",£855,£855,£677,£178,£52,£89
E07000145,Great Yarmouth,"100,529","£85,550,300",£851,£851,£631,£220,£49,£110
E07000175,Newark and Sherwood,"127,886","£108,178,931",£846,£846,£690,£156,£53,£78
E06000003,Redcar and Cleveland,"139,228","£116,130,060",£834,£834,£690,£144,£53,£72
E06000004,Stockton-on-Tees,"206,800","£169,537,492",£820,£820,£723,£97,£56,£48
E06000002,Middlesbrough,"156,161","£127,458,328",£816,£816,£550,£266,£42,£133
E07000034,Chesterfield,"106,045","£85,118,442",£803,£803,£614,£189,£47,£94
E07000108,Dover,"119,768","£92,716,698",£774,£774,£604,£170,£46,£85
E07000137,East Lindsey,"145,183","£111,512,809",£768,£768,£493,£276,£38,£138
E06000027,Torbay,"140,126","£107,528,197",£767,£767,£482,£285,£37,£143
E06000008,Blackburn with Darwen,"162,540","£124,091,728",£763,£763,£508,£255,£39,£128
E07000219,Nuneaton and Bedworth,"141,565","£107,592,196",£760,£760,£467,£293,£36,£147
S12000021,North Ayrshire,"134,010","£101,314,074",£756,£756,£426,£330,£33,£165
E06000012,North East Lincolnshire,"159,911","£119,051,196",£744,£744,£485,£260,£37,£130
E07000073,Harlow,"98,235","£73,087,829",£744,£744,£537,£207,£41,£103
W06000010,Carmarthenshire,"190,800","£133,066,456",£697,£697,£515,£182,£40,£91
S12000018,Inverclyde,"78,880","£54,444,794",£690,£690,£402,£288,£31,£144
E07000239,Wyre Forest,"103,913","£71,242,761",£686,£686,£483,£202,£37,£101
E07000039,South Derbyshire,"117,493","£80,297,382",£683,£683,£683,£0,£53,£0
E07000237,Worcester,"106,671","£71,007,882",£666,£666,£469,£197,£36,£98
W06000022,Newport,"167,899","£111,609,644",£665,£665,£471,£194,£36,£97
W06000020,Torfaen,"94,119","£62,119,660",£660,£660,£366,£294,£28,£147
W06000015,Cardiff,"383,919","£252,751,612",£658,£658,£536,£122,£41,£61
S12000039,West Dunbartonshire,"89,120","£58,363,211",£655,£655,£398,£257,£31,£128
E06000006,Halton,"131,543","£85,958,955",£653,£653,£338,£315,£26,£158
E06000031,Peterborough,"223,655","£145,184,475",£649,£649,£464,£186,£36,£93
W06000009,Pembrokeshire,"125,761","£80,348,187",£639,£639,£557,£82,£43,£41
W06000023,Powys,"135,059","£86,220,014",£638,£638,£559,£80,£43,£40
E08000018,Rotherham,"276,595","£175,466,590",£634,£634,£484,£150,£37,£75
E06000017,Rutland,"41,443","£26,244,491",£633,£633,£625,£8,£48,£4
E06000013,North Lincolnshire,"171,336","£108,359,490",£632,£632,£516,£117,£40,£58
W06000003,Conwy,"114,891","£72,649,142",£632,£632,£384,£248,£30,£124
E07000199,Tamworth,"81,117","£49,841,590",£614,£614,£358,£256,£28,£128
E08000013,St. Helens,"188,861","£115,976,834",£614,£614,£394,£220,£30,£110
E07000174,Mansfield,"113,138","£68,968,898",£610,£610,£420,£190,£32,£95
E08000015,Wirral,"328,873","£199,506,104",£607,£607,£424,£182,£33,£91
E08000023,South Tyneside,"151,393","£91,693,340",£606,£606,£332,£274,£26,£137
E08000017,Doncaster,"319,765","£192,843,075",£603,£603,£348,£255,£27,£127
E07000114,Thanet,"142,691","£86,050,139",£603,£603,£449,£155,£35,£77
E07000148,Norwich,"147,182","£88,461,734",£601,£601,£324,£277,£25,£138
E07000062,Hastings,"91,219","£53,760,973",£589,£589,£348,£241,£27,£120
E07000038,North East Derbyshire,"106,646","£60,011,569",£563,£563,£375,£188,£29,£94
S12000033,Aberdeen City,"231,780","£130,349,856",£562,£562,£466,£96,£36,£48
E07000243,Stevenage,"91,774","£50,511,989",£550,£550,£547,£4,£42,£2
E08000033,Calderdale,"210,929","£116,014,177",£550,£550,£455,£95,£35,£47
E07000120,Hyndburn,"86,058","£46,851,489",£544,£544,£295,£250,£23,£125
