lad,RUC21NM,Urban_rural_flag
E06000001,Urban: Majority nearer to a major town or city,Urban
E06000002,Urban: Majority nearer to a major town or city,Urban
E06000003,Intermediate urban: Majority nearer to a major town or city,Urban
E06000004,Urban: Majority nearer to a major town or city,Urban
E06000005,Urban: Majority nearer to a major town or city,Urban
E06000006,Urban: Majority nearer to a major town or city,Urban
E06000007,Urban: Majority nearer to a major town or city,Urban
E06000008,Urban: Majority nearer to a major town or city,Urban
E06000009,Urban: Majority nearer to a major town or city,Urban
E06000010,Urban: Majority nearer to a major town or city,Urban
E06000011,Intermediate rural: Majority nearer to a major town or city,Rural
E06000012,Urban: Majority nearer to a major town or city,Urban
E06000013,Intermediate rural: Majority nearer to a major town or city,Rural
E06000014,Urban: Majority nearer to a major town or city,Urban
E06000015,Urban: Majority nearer to a major town or city,Urban
E06000016,Urban: Majority nearer to a major town or city,Urban
E06000017,Majority rural: Majority further from a major town or city,Rural
E06000018,Urban: Majority nearer to a major town or city,Urban
E06000019,Majority rural: Majority further from a major town or city,Rural
E06000020,Urban: Majority nearer to a major town or city,Urban
E06000021,Urban: Majority nearer to a major town or city,Urban
E06000022,Intermediate urban: Majority nearer to a major town or city,Urban
E06000023,Urban: Majority nearer to a major town or city,Urban
E06000024,Intermediate urban: Majority nearer to a major town or city,Urban
E06000025,Urban: Majority nearer to a major town or city,Urban
E06000026,Urban: Majority nearer to a major town or city,Urban
E06000027,Urban: Majority further from a major town or city,Urban
E06000030,Urban: Majority nearer to a major town or city,Urban
E06000031,Urban: Majority nearer to a major town or city,Urban
E06000032,Urban: Majority nearer to a major town or city,Urban
E06000033,Urban: Majority nearer to a major town or city,Urban
E06000034,Urban: Majority nearer to a major town or city,Urban
E06000035,Urban: Majority nearer to a major town or city,Urban
E06000036,Urban: Majority nearer to a major town or city,Urban
E06000037,Intermediate rural: Majority nearer to a major town or city,Rural
E06000038,Urban: Majority nearer to a major town or city,Urban
E06000039,Urban: Majority nearer to a major town or city,Urban
E06000040,Urban: Majority nearer to a major town or city,Urban
E06000041,Urban: Majority nearer to a major town or city,Urban
E06000042,Urban: Majority nearer to a major town or city,Urban
E06000043,Urban: Majority nearer to a major town or city,Urban
E06000044,Urban: Majority nearer to a major town or city,Urban
E06000045,Urban: Majority nearer to a major town or city,Urban
E06000046,Intermediate rural: Majority further from a major town or city,Rural
E06000047,Intermediate rural: Majority nearer to a major town or city,Rural
E06000049,Urban: Majority nearer to a major town or city,Urban
E06000050,Intermediate urban: Majority nearer to a major town or city,Urban
E06000051,Majority rural: Majority nearer to a major town or city,Rural
E06000052,Majority rural: Majority further from a major town or city,Rural
E06000053,Majority rural: Majority further from a major town or city,Rural
E06000054,Intermediate rural: Majority further from a major town or city,Rural
E06000055,Intermediate urban: Majority nearer to a major town or city,Urban
E06000056,Intermediate rural: Majority nearer to a major town or city,Rural
E07000140,Majority rural: Majority further from a major town or city,Rural
E07000141,Intermediate urban: Majority further from a major town or city,Urban
E07000142,Majority rural: Majority nearer to a major town or city,Rural
E07000143,Intermediate rural: Majority further from a major town or city,Rural
E07000144,Majority rural: Majority nearer to a major town or city,Rural
E07000145,Intermediate urban: Majority further from a major town or city,Urban
E07000146,Majority rural: Majority further from a major town or city,Rural
E07000147,Majority rural: Majority further from a major town or city,Rural
E07000148,Urban: Majority nearer to a major town or city,Urban
E07000149,Majority rural: Majority nearer to a major town or city,Rural
E07000170,Urban: Majority nearer to a major town or city,Urban
E07000171,Intermediate rural: Majority nearer to a major town or city,Rural
E07000172,Urban: Majority nearer to a major town or city,Urban
E07000173,Urban: Majority nearer to a major town or city,Urban
E07000174,Urban: Majority nearer to a major town or city,Urban
E07000175,Intermediate rural: Majority nearer to a major town or city,Rural
E07000176,Intermediate rural: Majority nearer to a major town or city,Rural
E07000177,Intermediate urban: Majority further from a major town or city,Urban
E07000178,Urban: Majority nearer to a major town or city,Urban
E07000179,Majority rural: Majority nearer to a major town or city,Rural
E07000180,Intermediate rural: Majority nearer to a major town or city,Rural
E07000181,Majority rural: Majority further from a major town or city,Rural
E07000192,Urban: Majority nearer to a major town or city,Urban
E07000193,Intermediate urban: Majority nearer to a major town or city,Urban
E07000194,Intermediate urban: Majority nearer to a major town or city,Urban
E07000195,Urban: Majority nearer to a major town or city,Urban
E07000196,Intermediate rural: Majority nearer to a major town or city,Rural
E07000197,Intermediate urban: Majority nearer to a major town or city,Urban
E07000198,Intermediate urban: Majority nearer to a major town or city,Urban
E07000199,Urban: Majority nearer to a major town or city,Urban
E07000200,Majority rural: Majority nearer to a major town or city,Rural
E07000202,Urban: Majority nearer to a major town or city,Urban
E07000203,Majority rural: Majority nearer to a major town or city,Rural
E07000207,Urban: Majority nearer to a major town or city,Urban
E07000208,Urban: Majority nearer to a major town or city,Urban
E07000209,Urban: Majority nearer to a major town or city,Urban
E07000210,Intermediate urban: Majority nearer to a major town or city,Urban
E07000211,Urban: Majority nearer to a major town or city,Urban
E07000212,Urban: Majority nearer to a major town or city,Urban
E07000213,Urban: Majority nearer to a major town or city,Urban
E07000214,Urban: Majority nearer to a major town or city,Urban
E07000215,Intermediate urban: Majority nearer to a major town or city,Urban
E07000216,Urban: Majority nearer to a major town or city,Urban
E07000217,Urban: Majority nearer to a major town or city,Urban
E07000218,Majority rural: Majority nearer to a major town or city,Rural
E07000219,Urban: Majority nearer to a major town or city,Urban
E07000220,Intermediate urban: Majority nearer to a major town or city,Urban
E07000221,Majority rural: Majority nearer to a major town or city,Rural
E07000222,Urban: Majority nearer to a major town or city,Urban
E07000223,Urban: Majority nearer to a major town or city,Urban
E07000224,Urban: Majority nearer to a major town or city,Urban
E07000225,Majority rural: Majority nearer to a major town or city,Rural
E07000226,Urban: Majority nearer to a major town or city,Urban
E06000057,Intermediate rural: Majority nearer to a major town or city,Rural
E06000058,Urban: Majority nearer to a major town or city,Urban
E06000059,Intermediate rural: Majority further from a major town or city,Rural
E06000060,Intermediate urban: Majority nearer to a major town or city,Urban
E06000061,Intermediate urban: Majority nearer to a major town or city,Urban
E06000062,Intermediate urban: Majority nearer to a major town or city,Urban
E06000063,Majority rural: Majority further from a major town or city,Rural
E06000064,Intermediate rural: Majority further from a major town or city,Rural
E06000065,Majority rural: Majority nearer to a major town or city,Rural
E06000066,Intermediate rural: Majority further from a major town or city,Rural
E07000008,Urban: Majority nearer to a major town or city,Urban
E07000009,Majority rural: Majority further from a major town or city,Rural
E07000010,Intermediate urban: Majority further from a major town or city,Urban
E07000011,Majority rural: Majority nearer to a major town or city,Rural
E07000012,Majority rural: Majority nearer to a major town or city,Rural
E07000032,Intermediate urban: Majority nearer to a major town or city,Urban
E07000033,Intermediate rural: Majority nearer to a major town or city,Rural
E07000034,Urban: Majority nearer to a major town or city,Urban
E07000035,Majority rural: Majority nearer to a major town or city,Rural
E07000036,Urban: Majority nearer to a major town or city,Urban
