lad,smi_rank,smi_score
E06000001,265.0,-34.474255129257386
E06000009,316.0,-58.272170424489246
E07000170,289.0,-43.84247796804492
E07000136,147.0,1.5592443341019937
E07000121,93.0,17.165417285162487
E07000138,247.0,-26.648951018794378
E06000005,174.0,-4.658129327298841
E07000145,297.0,-45.83630275182974
E07000175,313.0,-54.989900083094376
E06000003,181.0,-8.468277019518318
E06000004,188.0,-9.762692923778925
E06000002,260.0,-31.457829521646097
E07000034,283.0,-40.82404353086017
E07000108,105.0,11.852269326929383
E07000137,217.0,-17.684172425657483
E06000027,129.0,5.358729666961054
E06000008,154.0,-0.19778912325854314
E07000219,314.0,-55.94298684412564
E06000012,288.0,-43.60054064849032
E07000073,164.0,-2.3506884573398583
E07000239,305.0,-49.285540982625406
E07000039,304.0,-49.00382997522626
E07000237,290.0,-44.36331342653298
E06000006,223.0,-19.464564488153943
E06000031,191.0,-10.401668204710562
E08000018,167.0,-3.4382879276388394
E06000017,307.0,-51.3970566916107
E06000013,237.0,-23.98292565093267
E07000199,279.0,-39.21232017973654
E08000013,215.0,-16.880224688975858
E07000174,317.0,-60.277759127029924
E08000015,133.0,4.816298941149066
E08000023,177.0,-5.738315546442869
E08000017,301.0,-48.36612776848346
E07000114,273.0,-37.35004296966506
E07000148,323.0,-77.85165862552412
E07000062,282.0,-40.491755292660635
E07000038,268.0,-35.695816327359985
E07000243,127.0,6.160056510154926
E08000033,96.0,15.239818246327653
E07000120,125.0,6.365888321185638
E08000024,139.0,3.746371600455231
E08000031,263.0,-33.28772589388957
E07000195,111.0,9.881705201987375
E06000052,186.0,-9.665343658402588
E07000036,266.0,-35.001754533477296
E08000028,291.0,-44.783686427706996
E08000036,278.0,-38.9727712297505
E07000146,293.0,-45.08684385610041
E07000117,196.0,-12.539520859651981
E07000088,251.0,-28.39401380136922
E08000030,257.0,-30.36805511174174
E06000018,310.0,-52.281751632662385
E07000197,158.0,-0.6729971022224461
E07000236,253.0,-28.812742226100553
E08000011,171.0,-4.216047156880425
E08000004,294.0,-45.104512031361566
E08000001,243.0,-25.42972448893474
E07000172,270.0,-36.35211578267943
E07000063,216.0,-17.2185047957197
E06000021,298.0,-47.951135729618294
E06000026,182.0,-8.534160751961817
E07000123,142.0,3.0148790367235065
E06000047,85.0,19.879023057934152
E07000140,61.0,30.572593247658265
E07000061,194.0,-11.536081651146652
E08000016,300.0,-48.30966167271443
E08000005,222.0,-19.392518119554378
E07000064,169.0,-3.780832459369069
E08000021,128.0,5.460983533732616
E06000019,269.0,-35.80444121754623
E08000012,256.0,-29.788495758774772
E07000171,230.0,-21.83024054638058
E08000002,213.0,-16.34655729192515
E08000008,315.0,-57.80468731717407
E06000044,166.0,-2.9687976304396138
E06000030,141.0,3.5965380014730997
E08000010,202.0,-13.692444897825853
E06000020,172.0,-4.438283078234897
E07000081,187.0,-9.712395635560549
E08000019,212.0,-16.15568599078396
E08000032,277.0,-38.41854045237366
E06000016,249.0,-26.947157305902913
E07000226,309.0,-52.24775447918337
E06000010,200.0,-13.495056336817717
E08000027,245.0,-25.994096751557446
E08000037,107.0,11.203760360038105
E08000034,91.0,17.239926179022483
E07000142,122.0,7.039373744291359
E08000014,115.0,9.34586625929717
E07000122,208.0,-15.086009681928019
E07000076,180.0,-7.671678541226073
E06000015,303.0,-48.90674589516988
E07000125,57.0,32.698468485311814
E07000090,242.0,-25.204038403680393
E07000071,207.0,-14.91978092017019
E08000003,144.0,2.524554144506623
E07000235,255.0,-29.248187734905997
E06000046,220.0,-18.312731451302458
E07000194,72.0,26.373400286061674
E06000057,262.0,-32.54551785866963
E08000035,224.0,-19.59423268567302
E07000035,143.0,2.61079569888472
E07000080,254.0,-29.179525045167978
E07000113,132.0,4.833637427953284
E08000025,160.0,-0.9311476192176062
E07000010,319.0,-62.944315790412254
E06000045,145.0,2.431530220049326
E07000192,272.0,-36.89475571374597
E07000173,204.0,-13.996751326443944
E07000047,121.0,7.802325403579083
E07000224,271.0,-36.44763838294442
E07000193,261.0,-32.50599099484794
E06000007,229.0,-21.70987437479644
E06000033,201.0,-13.514827141705132
E06000011,148.0,1.2761640321204701
E07000046,308.0,-51.47542582262051
E08000006,221.0,-18.78291314122624
E07000202,292.0,-44.98070400585584
E07000198,209.0,-15.26419064623483
E07000132,184.0,-8.885672440727394
E07000069,136.0,4.4967311052858925
E08000007,183.0,-8.824564790733554
E06000024,70.0,27.332985466808182
E08000009,20.0,66.72383299597293
E06000050,236.0,-23.90149574433271
E07000109,206.0,-14.899900940562778
E07000066,239.0,-24.31690239966432
E07000092,248.0,-26.834961478885628
