lad_nm,smi_rank,smi_score
Westminster,1,117.84123443785565
Wandsworth,2,115.57921811898879
Redbridge,3,114.96777657324053
Tower Hamlets,4,106.63234715570069
Islington,5,99.51172039348697
Hackney,6,97.27913087381944
Kensington and Chelsea,7,90.1025034356293
Ealing,8,88.15738319818097
Barnet,9,85.89003850940529
Hammersmith and Fulham,10,82.30276431705883
Southwark,11,80.02323480352563
Kingston upon Thames,12,74.56722181645722
Lewisham,13,74.36913847593658
East Hertfordshire,14,73.70104744337189
Greenwich,15,73.30109872820655
Hounslow,16,71.30416435360303
Newham,17,71.19793007378338
Richmond upon Thames,18,70.01647424718536
Camden,19,67.69093598124245
Trafford,20,66.72383299597293
Lambeth,21,65.44089803777896
Fylde,22,63.12846819112039
Harrow,23,62.023881358935256
Elmbridge,24,61.442523887191
Brent,25,60.12767923649937
Bromley,26,54.65684515377313
Waverley,27,54.60919604843681
Surrey Heath,28,52.334728108596174
Hart,29,52.097336299353536
Tandridge,30,50.86254321595747
St Albans,31,49.262590137664986
Haringey,32,49.19974586067491
Three Rivers,33,49.06308217724337
Sutton,34,47.8518391872173
Slough,35,47.59376301302334
Waltham Forest,36,47.436610130078364
Bexley,37,46.56297594436275
East Devon,38,45.617223913818535
Croydon,39,45.47827787425745
South Hams,40,44.74452899605118
Merton,41,44.47695618164654
Watford,42,42.82785489602018
Tonbridge and Malling,43,42.80241027260773
Rushcliffe,44,42.30699899773354
East Hampshire,45,41.39167356789341
Broxbourne,46,40.45910473829989
Enfield,47,39.13390550404439
Woking,48,38.624786447464324
Tunbridge Wells,49,37.856189004626046
Dartford,50,37.20807389863356
Winchester,51,37.18429961639744
Ribble Valley,52,35.53486517671165
Hertsmere,53,34.818760611144484
Epsom and Ewell,54,33.71262999589605
Welwyn Hatfield,55,33.65419192827604
Hillingdon,56,33.35932834023035
Rossendale,57,32.698468485311814
Test Valley,58,32.52111584873852
North Kesteven,59,30.63300138522178
South Northamptonshire,60,30.60214034012597
South Holland,61,30.572593247658265
Maldon,62,30.032087149962592
Wycombe,63,29.403749318120997
Mid Suffolk,64,29.150609798418287
Wyre,65,28.375066472030866
Basingstoke and Deane,66,28.145027919103633
West Lancashire,67,28.092882405972446
Brentwood,68,28.088081421330266
Aylesbury Vale,69,27.776884860856157
North Somerset,70,27.332985466808182
Sevenoaks,71,26.971919539281558
Lichfield,72,26.373400286061674
Harborough,73,25.730661078092254
Barking and Dagenham,74,25.38246858236768
Copeland,75,24.548612796529078
Reigate and Banstead,76,22.9976377178957
Chiltern,77,22.78179106008796
Dacorum,78,22.026559224232308
Rochford,79,21.86293285109853
Runnymede,80,21.38413151188257
Uttlesford,81,21.336855458549017
Exeter,82,21.317366112809626
Luton,83,20.58371392934643
South Gloucestershire,84,20.569071092651228
County Durham,85,19.879023057934152
Mid Sussex,86,19.875480254743707
Bedford,87,18.857329157195203
Craven,88,18.828516254556337
Fareham,89,18.661432205618226
Wokingham,90,18.65828265997791
Kirklees,91,17.239926179022483
Warwick,92,17.195894536273112
Lancaster,93,17.165417285162487
Chorley,94,16.98735115949805
Daventry,95,15.26301289319391
Calderdale,96,15.239818246327653
Bromsgrove,97,15.06355648179007
Bath and North East Somerset,98,14.49975596840185
Cheshire East,99,13.207804598863635
Blaby,100,12.887630372355321
Windsor and Maidenhead,101,12.721652434738306
Teignbridge,102,12.49340507985249
Wealden,103,12.154092047330066
Havering,104,12.090148275162623
Dover,105,11.852269326929383
Guildford,106,11.353142144954328
Gateshead,107,11.203760360038105
Coventry,108,11.173939452508248
South Staffordshire,109,10.887261135994823
South Norfolk,110,10.003645237430645
Newcastle-under-Lyme,111,9.881705201987375
Epping Forest,112,9.877579816111744
Suffolk Coastal,113,9.867778441221922
Spelthorne,114,9.791126911637917
Sefton,115,9.34586625929717
South Kesteven,116,9.012697291142334
North Hertfordshire,117,8.837075924966591
Solihull,118,8.582022623481357
Selby,119,8.46834704093881
Shepway,120,8.073189216408956
West Devon,121,7.802325403579083
West Lindsey,122,7.039373744291359
Ashford,123,6.983859153923389
West Dorset,124,6.558499955720701
Hyndburn,125,6.365888321185638
Mole Valley,126,6.278588594031294
Stevenage,127,6.160056510154926
Newcastle upon Tyne,128,5.460983533732616
Torbay,129,5.358729666961054
Rugby,130,5.334263432351593
Horsham,131,5.283840064054655
Swale,132,4.833637427953284
Wirral,133,4.816298941149066
Canterbury,134,4.75547975598074
North Tyneside,135,4.666631516487777
Castle Point,136,4.4967311052858925
South Oxfordshire,137,4.244084814019903
East Dorset,138,3.8712156089121983
Sunderland,139,3.746371600455231
Stroud,140,3.7016535173734884
Swindon,141,3.5965380014730997
Preston,142,3.0148790367235065
Derbyshire Dales,143,2.61079569888472
Manchester,144,2.524554144506623
Southampton,145,2.431530220049326
Maidstone,146,2.2161859643054145
Boston,147,1.5592443341019937
East Riding of Yorkshire,148,1.2761640321204701
South Lakeland,149,0.44781288949426656
Taunton Deane,150,0.33116664472067026
North Dorset,151,0.22819349976294134
York,152,-0.02894897863520962
Worthing,153,-0.15955485929102142
Blackburn with Darwen,154,-0.19778912325854314
West Oxfordshire,155,-0.40316062915042483
Brighton and Hove,156,-0.5145425432400961
Chelmsford,157,-0.578964379521075
Stafford,158,-0.6729971022224461
Medway,159,-0.8570032610694751
Birmingham,160,-0.9311476192176062
Mendip,161,-0.9610585692604197
Cheltenham,162,-1.0506576497878335
Broadland,163,-1.3685813579442403
Harlow,164,-2.3506884573398583
Bournemouth,165,-2.5123808586970817
Portsmouth,166,-2.9687976304396138
Rotherham,167,-3.4382879276388394
Milton Keynes,168,-3.5144768601948586
Rother,169,-3.780832459369069
South Cambridgeshire,170,-4.190870603107051
Knowsley,171,-4.216047156880425
Telford and Wrekin,172,-4.438283078234897
Vale of White Horse,173,-4.59957394413027
Darlington,174,-4.658129327298841
Harrogate,175,-4.937994990925265
St Edmundsbury,176,-5.454719913778316
South Tyneside,177,-5.738315546442869
Central Bedfordshire,178,-6.308493382059206
Mid Devon,179,-6.54638253599782
Tendring,180,-7.671678541226073
Redcar and Cleveland,181,-8.468277019518318
Plymouth,182,-8.534160751961817
Stockport,183,-8.824564790733554
Hinckley and Bosworth,184,-8.885672440727394
Shropshire,185,-9.610078853675386
Cornwall,186,-9.665343658402588
Gloucester,187,-9.712395635560549
Stockton-on-Tees,188,-9.762692923778925
Tewkesbury,189,-9.885807083809217
Ryedale,190,-10.028191006918163
Peterborough,191,-10.401668204710562
New Forest,192,-11.163385464874398
Eden,193,-11.444013605814254
Eastbourne,194,-11.536081651146652
High Peak,195,-12.431971162338238
Burnley,196,-12.539520859651981
South Bucks,197,-13.003428444428518
Purbeck,198,-13.004749924189374
Eastleigh,199,-13.140353994779613
Kingston upon Hull,200,-13.495056336817717
Southend-on-Sea,201,-13.514827141705132
Wigan,202,-13.692444897825853
Bracknell Forest,203,-13.837848255546891
Gedling,204,-13.996751326443944
Oadby and Wigston,205,-14.332607490140177
Gravesham,206,-14.899900940562778
Colchester,207,-14.91978092017019
Pendle,208,-15.086009681928019
Staffordshire Moorlands,209,-15.26419064623483
Huntingdonshire,210,-15.556321286665504
Christchurch,211,-15.95494027298509
Sheffield,212,-16.15568599078396
Bury,213,-16.34655729192515
Bristol,214,-16.466296327072296
St. Helens,215,-16.880224688975858
Lewes,216,-17.2185047957197
