wave,date,region,cut,reform_pct,n
1,2014-02-25 18:39:09.399000064,East Midlands,all,22.351121423047175,1293
1,2014-02-25 18:39:09.399000064,East Midlands,deprived,21.714285714285715,700
1,2014-02-25 18:39:09.399000064,West Midlands,all,19.121813031161473,1412
1,2014-02-25 18:39:09.399000064,West Midlands,deprived,18.68629671574179,883
2,2014-05-28 06:19:44.423500032,East Midlands,all,25.44747081712062,1285
2,2014-05-28 06:19:44.423500032,East Midlands,deprived,25.339366515837103,663
2,2014-05-28 06:19:44.423500032,West Midlands,all,21.832498210450964,1397
2,2014-05-28 06:19:44.423500032,West Midlands,deprived,20.528211284513805,833
3,2014-09-25 13:33:09.645000448,East Midlands,all,25.248344370860927,1208
3,2014-09-25 13:33:09.645000448,East Midlands,deprived,25.663716814159294,565
3,2014-09-25 13:33:09.645000448,West Midlands,all,22.172284644194757,1335
3,2014-09-25 13:33:09.645000448,West Midlands,deprived,21.861777150916783,709
4,2015-03-15 08:40:38.690499072,East Midlands,all,17.846153846153847,1625
4,2015-03-15 08:40:38.690499072,East Midlands,deprived,19.06906906906907,666
4,2015-03-15 08:40:38.690499072,West Midlands,all,17.108294930875577,1736
4,2015-03-15 08:40:38.690499072,West Midlands,deprived,18.364779874213834,795
5,2015-04-18 17:49:35.009499648,East Midlands,all,16.619718309859156,1420
5,2015-04-18 17:49:35.009499648,East Midlands,deprived,18.461538461538463,585
5,2015-04-18 17:49:35.009499648,West Midlands,all,15.782907049282596,1603
5,2015-04-18 17:49:35.009499648,West Midlands,deprived,17.88617886178862,738
7,2016-04-25 09:59:03.680000256,East Midlands,all,21.04305639781686,1649
7,2016-04-25 09:59:03.680000256,East Midlands,deprived,22.61904761904762,588
7,2016-04-25 09:59:03.680000256,West Midlands,all,22.029988465974625,1734
7,2016-04-25 09:59:03.680000256,West Midlands,deprived,24.42528735632184,696
8,2016-05-30 18:23:30.072999936,East Midlands,all,23.575418994413408,1790
8,2016-05-30 18:23:30.072999936,East Midlands,deprived,25.593220338983052,590
8,2016-05-30 18:23:30.072999936,West Midlands,all,24.119530416221984,1874
8,2016-05-30 18:23:30.072999936,West Midlands,deprived,24.853801169590643,684
9,2016-06-26 14:38:07.170000128,East Midlands,all,18.07308970099668,1505
9,2016-06-26 14:38:07.170000128,East Midlands,deprived,18.199233716475096,522
9,2016-06-26 14:38:07.170000128,West Midlands,all,19.3359375,1536
9,2016-06-26 14:38:07.170000128,West Midlands,deprived,19.304347826086957,575
10,2016-12-02 22:49:08.074999808,East Midlands,all,14.61159062885327,1622
10,2016-12-02 22:49:08.074999808,East Midlands,deprived,15.445544554455445,505
10,2016-12-02 22:49:08.074999808,West Midlands,all,14.51048951048951,1716
10,2016-12-02 22:49:08.074999808,West Midlands,deprived,15.834767641996558,581
11,2017-04-27 19:05:05.801500160,East Midlands,all,6.640841173215274,1807
11,2017-04-27 19:05:05.801500160,East Midlands,deprived,8.31918505942275,589
11,2017-04-27 19:05:05.801500160,West Midlands,all,6.624605678233439,1902
11,2017-04-27 19:05:05.801500160,West Midlands,deprived,7.951070336391437,654
12,2017-05-22 09:07:45.331500032,East Midlands,all,4.9745618993781795,1769
12,2017-05-22 09:07:45.331500032,East Midlands,deprived,5.328596802841918,563
12,2017-05-22 09:07:45.331500032,West Midlands,all,5.151843817787419,1844
12,2017-05-22 09:07:45.331500032,West Midlands,deprived,5.654281098546042,619
14,2018-05-11 11:17:22.288000000,East Midlands,all,5.304740406320542,1772
14,2018-05-11 11:17:22.288000000,East Midlands,deprived,5.400372439478584,537
14,2018-05-11 11:17:22.288000000,West Midlands,all,5.147864184008762,1826
14,2018-05-11 11:17:22.288000000,West Midlands,deprived,5.83596214511041,634
15,2019-03-19 20:46:50.146499584,East Midlands,all,12.292817679558011,1448
