region,band,ref,tot,reform_share,quarter
East Midlands,less deprived,221775.88847838852,1072694,0.2067466476724849,q4_2024
East Midlands,more deprived,276701.84705442534,1216357,0.22748407503259763,q4_2024
West Midlands,less deprived,263915.82099992567,1099866,0.23995270423844875,q4_2024
West Midlands,more deprived,421064.6203696309,1682650,0.250238980399745,q4_2024
East Midlands,less deprived,247020.236596893,1100995,0.22436090681328524,q1_2025
East Midlands,more deprived,294766.5970370373,1227432,0.2401490241716342,q1_2025
West Midlands,less deprived,325504.9137869371,1131555,0.2876615929291436,q1_2025
West Midlands,more deprived,542296.4867723072,1737468,0.3121188342877723,q1_2025
East Midlands,less deprived,367292.58005644515,1120697,0.32773584658158733,q2_2025
East Midlands,more deprived,436134.1069768661,1279615,0.34083228703701196,q2_2025
West Midlands,less deprived,375585.8780715241,1144012,0.32830589021052586,q2_2025
West Midlands,more deprived,640124.6455951825,1811603,0.35334708851507896,q2_2025
East Midlands,less deprived,404634.95671182236,1135356,0.35639478428952887,q3_2025
East Midlands,more deprived,501449.3336444764,1306878,0.3837001875037122,q3_2025
West Midlands,less deprived,383454.5966935555,1175974,0.3260740430430906,q3_2025
West Midlands,more deprived,654745.7135369785,1829845,0.3578148496386188,q3_2025
East Midlands,less deprived,381660.6905391292,1100580,0.34678141574363447,q4_2025
East Midlands,more deprived,468880.72875826457,1262815,0.3712980355461921,q4_2025
West Midlands,less deprived,379129.0910900664,1185180,0.31989157013286285,q4_2025
West Midlands,more deprived,647314.2297050236,1860733,0.34788130790662797,q4_2025
