variable_name,variable_label,measure,original_type,value_labels_json,missing_ranges_json,missing_user_values_json
finalserialno,Final Serial Number,unknown,F12.0,{},[],[]
serial,Respondent Serial Number,nominal,A9,{},[],[]
a01,A1: Most important issue,nominal,A240,{},[],[]
a02,Best party on most important issue,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""None/No party"", ""1.0"": ""Labour"", ""2.0"": ""Conservatives"", ""3.0"": ""Liberal Democrats"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""Other"", ""10.0"": ""All of them/ more than one""}",[],[]
a03,Interest in politics,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Very interested"", ""2.0"": ""Fairly interested"", ""3.0"": ""Not very interested"", ""4.0"": ""Not at all interested""}",[],[]
m02_1,Politicians don't care what people like me think,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
m02_2,It is often difficult for me to understand what is going on in government and po,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
m02_3,People like me have no say in what government does.,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
m02_4,The main political parties in Britain don't offer voters real choices in electio,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
m02_5,Parties and politicians in the UK are more concerned with fighting each other th,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
m02_6,Politicians ignore the issues I really care about,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
b01,"B1 Talking with people about the general election on June 8th, we have found tha",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""1.0"": ""Yes, voted"", ""2.0"": ""No, did not vote""}",[],[]
b02,B2 Which party did you vote for in the general election?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""None/No party"", ""1.0"": ""Labour"", ""2.0"": ""Conservatives"", ""3.0"": ""Liberal Democrats"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""Other"", ""10.0"": ""Independent""}",[],[]
b04,"B4 If you had voted, which party would you probably have voted for?",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""Would not vote for a party/refused/spoil ballot"", ""1.0"": ""Labour"", ""2.0"": ""Conservatives"", ""3.0"": ""Liberal Democrats"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""Other""}",[],[]
b05,B5 How did you cast your vote in the general election on June 8th?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""1.0"": ""In person"", ""2.0"": ""By post"", ""3.0"": ""By proxy (someone else voted on my behalf)""}",[],[]
b0601,The party had the best policies/ policies that matched my requirements,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0602,The party had the best leader/ like their leader,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0603,I really preferred another party but it stood no chance of winning in my constit,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0604,I voted tactically,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0605,I always vote for that party,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0606,Protest vote,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0607,Influenced by relative/ spouse,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0608,This party is the lesser of the two evils/best of the bunch,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0609,Good track record/ doing well/ trust them,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0610,Dislike other main party/parties / distrust other parties,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0611,The country needs a change/needed a change/ need a new party/ fresh look/ shake,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0612,For historic reasons/tradition,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0613,This party will do a better job than others,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0614,Have more confidence/trust in them,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0615,Good/like local candidate/MP,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0616,Party represents the working class,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0617,Experience/past performance,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0618,Other,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b0619,Don`t know,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b06a,B6A Which party do you really prefer?,unknown,F8.0,"{""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""None"", ""1.0"": ""1 Labour"", ""2.0"": ""2 Conservatives"", ""3.0"": ""3 Liberal Democrats"", ""4.0"": ""4 Scottish National Party (SNP)"", ""5.0"": ""5 Plaid Cymru"", ""6.0"": ""6 Green Party"", ""7.0"": ""7 United Kingdom Independence Party (UKIP)"", ""8.0"": ""8 Other""}",[],[]
b07,B7 Did you care which party won the recent general election?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Cared a good deal"", ""2.0"": ""Didn't care very much""}",[],[]
b09,B9 Thinking back to the referendum on Scottish independence held in September 20,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""1.0"": ""Did not vote"", ""2.0"": ""I voted 'Yes' (Scotland should become an independent country)"", ""3.0"": ""I voted 'No' (Scotland should NOT become an independent country)"", ""4.0"": ""Not eligible/too young to vote""}",[],[]
b12_1,Conservatives look after interests of black people and Asians,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_2,Conservatives look after interests of trade unions,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_3,Conservatives look after interests of middle class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_4,Conservatives look after interests of big business,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_5,Conservatives look after interests of working class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_6,Conservatives look after interests of unemployed,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_1,Labour look after interests of black people and Asians,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_2,Labour look after interests of trade unions,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_3,Labour look after interests of middle class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_4,Labour look after interests of big business,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_5,Labour look after interests of working class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_6,Labour look after interests of unemployed,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
c01,C1 How interested were you in the general election that was held on June 8th thi,unknown,F8.0,"{""-999.0"": ""Not stated"", ""1.0"": ""Very interested"", ""2.0"": ""Somewhat interested"", ""3.0"": ""Not very interested"", ""4.0"": ""Not at all interested""}",[],[]
c02_1,Going to vote is a lot of effort,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_2,I feel a sense of satisfaction when I vote,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_3,It is every citizen's duty to vote in an election,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_4,Most of my friends and family think that voting is a waste of time.,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
d01,"Generally speaking, do you think of yourself as Labour, Conservative, Liberal De",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""None / No party/ uncommitted"", ""1.0"": ""Labour"", ""2.0"": ""Conservative"", ""3.0"": ""Liberal Democrat"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""Other""}",[],[]
d02,Do you generally think of yourself as a little closer to one of the parties than,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""1.0"": ""Yes"", ""2.0"": ""No""}",[],[]
d03,Which party is that?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""None/No"", ""1.0"": ""Labour"", ""2.0"": ""Conservatives"", ""3.0"": ""Liberal Democrats"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""Other""}",[],[]
d04,"Would you call yourself very strong [party], fairly strong or not very strong?",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Very strong"", ""2.0"": ""Fairly strong"", ""3.0"": ""Not very strong""}",[],[]
f01_1,Ordinary working people get their fair share of the nation's wealth,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_2,There is one law for the rich and one for the poor,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_3,Young people today don't have enough respect for traditional British values,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_4,Censorship of films and magazines is necessary to uphold moral standards,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_5,There is no need for strong trade unions to protect employees' working condition,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_6,Private enterprise is the best way to solve Britain's economic problems,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_7,Major public services and industries ought to be in state ownership,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_8,It is the government's responsibility to provide a job for everyone who wants on,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_9,People should be allowed to organise public meetings to protest against the gove,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_10,People in Britain should be more tolerant of those who lead unconventional lives,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_11,"For some crimes, the death penalty is the most appropriate sentence",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_12,People who break the law should be given stiffer sentences,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f2,F2 Are you generally in favour of...,unknown,F8.0,"{""-1.0"": ""Don`t know"", ""1.0"": ""1 More nationalisation of companies by government"", ""2.0"": ""2 More privatisation of companies by government"", ""3.0"": ""3 or, should things be left as they are now?""}",[],[]
e01,E1 In politics people sometimes talk of left and right. Where would you place yo,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don`t know"", ""0.0"": ""0 Left"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Right""}",[],[]
g01_1,Tax/spend: Yourself,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
