variable_name,variable_label,measure,original_type,value_labels_json,missing_ranges_json,missing_user_values_json
id,ID,unknown,F8.0,{},[],[]
generalElectionVoteOthW1,General election vote (other),unknown,A189,{},[],[]
generalElectionVoteOthW2,General election vote (other),unknown,A200,{},[],[]
generalElectionVoteOthW3,General election vote (other),unknown,A169,{},[],[]
generalElectionVoteOthW4,General election vote (other),unknown,A214,{},[],[]
generalElectionVoteOthW5,General election vote (other),unknown,A,{},[],[]
generalElectionVotePostOthW5,General election postal vote retro (other),unknown,A,{},[],[]
generalElectionVoteOthW6,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthwishW6,General election vote wished vote for (Other),unknown,A,{},[],[]
generalElectionVoteOthW7,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW8,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW9,General election vote (other),unknown,A244,{},[],[]
generalElectionVoteOthW10,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW11,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW12,General election vote (other),unknown,A,{},[],[]
generalElectionVotePostOthW12,General election postal vote retro (other),unknown,A,{},[],[]
generalElectionVoteOthW14,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW15,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthTIGW15,None,unknown,A,{},[],[]
generalElectionVoteOthW16,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW17,General election vote (other),unknown,A,{},[],[]
generalElectionVoteIndW17,General election vote: Independent,unknown,A,{},[],[]
generalElectionVoteOthW18,General election vote (other),unknown,A,{},[],[]
generalElectionVotePostIndW18,None,unknown,A,{},[],[]
generalElectionVoteIndW18,General election vote: Independent,unknown,A,{},[],[]
generalElectionVoteOthW20,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW21,General election vote (other),unknown,A255,{},[],[]
generalElectionVoteOthW22,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW23,General election vote (other),unknown,A249,{},[],[]
generalElectionVoteOthW24,General election vote (other),unknown,A190,{},[],[]
generalElectionVoteOthW25,General election vote (other),unknown,A181,{},[],[]
generalElectionVoteOthW26,General election vote (other),unknown,A,{},[],[]
generalElectionVoteOthW27,General election vote (other),unknown,A,{},[],[]
generalElectionVotetext2W27,,unknown,A,{},[],[]
generalElectionVoteIndW27,General election vote: Independent,unknown,A,{},[],[]
generalElectionVoteOthW28,General election vote (other),unknown,A,{},[],[]
generalElectionVotePostIndW28,None,unknown,A23,{},[],[]
generalElectionVoteIndW28,General election vote: Independent,unknown,A,{},[],[]
generalElectionVoteOthW30,General election vote (other),unknown,A,{},[],[]
partyIdSqueezeOthW1,Party ID (squeezed): other party,unknown,A54,{},[],[]
partyIdOthW1,Other party ID,unknown,A190,{},[],[]
partyIdSqueezeOthW2,Party ID (squeezed): other party,unknown,A74,{},[],[]
partyIdOthW2,Other party ID,unknown,A178,{},[],[]
partyIdSqueezeOthW3,Party ID (squeezed): other party,unknown,A30,{},[],[]
