category,year,page_type,page_title,page_url,source_text,source_url,local_path,notes
local_elections,2016,results_analysis,Local Elections 2016,https://commonslibrary.parliament.uk/research-briefings/cbp-7596/,"Download full report Download ‘Local elections 2016’ report (685 KB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-7596/CBP-7596.pdf,local_elections/2016_results_analysis/CBP-7596.pdf,
local_elections,2016,results_analysis,Local Elections 2016,https://commonslibrary.parliament.uk/research-briefings/cbp-7596/,"Results 2016 - Party affiliation, council composition, share of seats and net seat change Results 2016 - Party affiliation, council composition, share of seats and net seat change (56 KB , Excel Spreadsheet )","https://researchbriefings.files.parliament.uk/documents/CBP-7596/Results-2016---Party-affiliation,-council-composition,-share-of-seats-and-net-seat-change.xlsx","local_elections/2016_results_analysis/Results-2016---Party-affiliation,-council-composition,-share-of-seats-and-net-seat-change.xlsx",
local_elections,2017,results_analysis,Local Elections 2017,https://commonslibrary.parliament.uk/research-briefings/cbp-7975/,"Local Elections 2017 Downloadable Results Local Elections 2017 Downloadable Results (33 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-7975/CBP-7975-Downloadable-Results.xlsx,local_elections/2017_results_analysis/CBP-7975-Downloadable-Results.xlsx,
local_elections,2017,results_analysis,Local Elections 2017,https://commonslibrary.parliament.uk/research-briefings/cbp-7975/,"Download full report Download ‘Local Elections 2017’ report (3 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-7975/CBP-7975.pdf,local_elections/2017_results_analysis/CBP-7975.pdf,
local_elections,2018,results_analysis,Local Elections 2018,https://commonslibrary.parliament.uk/research-briefings/cbp-8306/,"Download full report Download ‘Local Elections 2018’ report (727 KB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-8306/CBP-8306.pdf,local_elections/2018_results_analysis/CBP-8306.pdf,
local_elections,2018,results_analysis,Local Elections 2018,https://commonslibrary.parliament.uk/research-briefings/cbp-8306/,"Local Elections 2018 Appendix Local Elections 2018 Appendix (34 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-8306/CBP-8306.xlsx,local_elections/2018_results_analysis/CBP-8306.xlsx,
local_elections,2019,results_analysis,Local Elections 2019,https://commonslibrary.parliament.uk/research-briefings/cbp-8566/,"Download full report Download ‘Local Elections 2019’ report (3 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-8566/CBP-8566.pdf,local_elections/2019_results_analysis/CBP-8566.pdf,
local_elections,2019,results_analysis,Local Elections 2019,https://commonslibrary.parliament.uk/research-briefings/cbp-8566/,"CBP8566 CBP8566 (60 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-8566/CBP8566.xlsx,local_elections/2019_results_analysis/CBP8566.xlsx,
local_elections,2021,handbook_dataset,2021 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/data/parliament-elections-data/2021-local-elections-handbook-and-dataset/,Download the handbook,https://commonslibrary.parliament.uk/content/uploads/2022/04/LEH2021-complete.pdf,local_elections/2021_handbook_dataset/LEH2021-complete.pdf,
local_elections,2021,handbook_dataset,2021 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/data/parliament-elections-data/2021-local-elections-handbook-and-dataset/,Download the dataset,https://commonslibrary.parliament.uk/content/uploads/2023/02/local_elections_2021_results-2.xlsx,local_elections/2021_handbook_dataset/local_elections_2021_results-2.xlsx,
local_elections,2021,results_analysis,May 2021 local elections,https://commonslibrary.parliament.uk/research-briefings/cbp-9228/,"Download full report Download ‘May 2021 local elections’ report (2 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-9228/CBP-9228.pdf,local_elections/2021_results_analysis/CBP-9228.pdf,
local_elections,2021,results_analysis,May 2021 local elections,https://commonslibrary.parliament.uk/research-briefings/cbp-9228/,"CBP09228_detailed_results CBP09228_detailed_results (40 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-9228/CBP09228_detailed_results.xlsx,local_elections/2021_results_analysis/CBP09228_detailed_results.xlsx,
local_elections,2022,handbook_dataset,2022 Local Elections Handbook and dataset,https://commonslibrary.parliament.uk/data/parliament-elections-data/2022-local-elections-handbook-and-dataset/,Download the handbook,https://commonslibrary.parliament.uk/content/uploads/2023/01/LEH2022-complete-compressed-1.pdf,local_elections/2022_handbook_dataset/LEH2022-complete-compressed-1.pdf,
