name,total_speeches,immigration_speeches,immigration_speech_proportion,reform_alignment,hardline_ratio,radicalization_slope,trend_strength,current_alignment,starting_alignment,alignment_change,extremism_percentile
Suella Braverman,1015,273,0.269,0.3032,0.2923,-0.0017,0.0095,0.0,0.0,0.0,98.9
Damian Hinds,1123,25,0.0223,0.1371,0.2308,0.002,0.0648,0.0,0.0,0.0,39.5
Nigel Mills,341,9,0.0264,0.0733,0.4615,-0.0011,0.0358,0.0,0.0,0.0,6.3
Mel Stride,1416,71,0.0501,0.0937,0.2105,-0.0004,0.0012,0.0,0.0,0.0,15.1
Ben Spencer,322,22,0.0683,0.1454,0.1364,0.0034,0.0691,0.0,0.0,0.0,44.1
Geoffrey Clifton-Brown,380,12,0.0316,0.192,0.2941,0.0023,0.0441,0.0,0.0,0.0,67.7
Kelly Tolhurst,366,21,0.0574,0.1752,0.0833,0.0015,0.0202,0.2286,0.0,0.2286,58.9
Edward Timpson,203,6,0.0296,0.0864,-0.0833,-0.0007,0.0072,0.0,0.0,0.0,11.5
Mark Harper,783,39,0.0498,0.1778,0.3889,-0.0046,0.2173,0.0,0.0,0.0,61.1
Neil Parish,316,24,0.0759,0.1673,0.2,-0.0014,0.01,0.0,0.0,0.0,55.1
Matthew Offord,235,11,0.0468,0.1543,0.0968,0.0019,0.052,0.2177,0.0,0.2177,49.6
Gillian Keegan,734,14,0.0191,0.1464,0.0303,-0.0038,0.1518,0.0,0.0,0.0,44.7
Suzanne Webb,180,9,0.05,0.2452,0.0833,0.0046,0.033,0.0,0.0,0.0,93.4
John Howell,355,12,0.0338,0.1024,0.1333,0.0017,0.0413,0.0,0.0,0.0,19.5
Wendy Morton,709,24,0.0339,0.196,0.2766,0.0044,0.2137,0.3666,0.0,0.3666,69.6
Robert Neill,903,23,0.0255,0.142,0.3158,0.0035,0.1856,0.1506,0.0,0.1506,42.5
David Johnston,274,6,0.0219,0.1069,0.3103,-0.0016,0.0092,0.0,0.0193,-0.0193,21.1
Rishi Sunak,3507,189,0.0539,0.2539,0.3333,0.0025,0.0479,0.0,0.0,0.0,95.6
Craig Whittaker,145,5,0.0345,0.1787,0.0476,0.0018,0.0242,0.0,0.0,0.0,61.6
Craig Tracey,169,12,0.071,0.2619,0.4286,-0.0018,0.0194,0.0,0.0,0.0,97.3
