rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
1,Richard Burgon,Labour,Leeds East,218,16,268,91,0.07339449541284404,0.49303621169916434,79.0,Restriction-leaning
2,Heidi Alexander,Labour,Swindon South,99,10,28,12,0.10101010101010101,0.4,77.1,Restriction-leaning
3,Nadia Whittome,Labour,Nottingham East,44,8,52,28,0.18181818181818182,0.3,75.1,Restriction-leaning
4,Emma Reynolds,Labour,Wycombe,137,15,37,19,0.10948905109489052,0.32142857142857145,74.8,Restriction-leaning
5,Diane Abbott,Labour,Hackney North and Stoke Newington,298,66,307,184,0.2214765100671141,0.2505091649694501,73.5,Restriction-leaning
6,Abena Oppong-Asare,Labour,Erith and Thamesmead,54,5,74,40,0.09259259259259259,0.2982456140350877,73.3,Restriction-leaning
7,Zarah Sultana,Labour,Coventry South,115,12,105,58,0.10434782608695652,0.2883435582822086,73.3,Restriction-leaning
8,Alex Davies-Jones,Labour,Pontypridd,86,6,118,67,0.06976744186046512,0.2756756756756757,70.9,Restriction-leaning
9,Apsana Begum,Labour,Poplar and Limehouse,44,6,81,58,0.13636363636363635,0.16546762589928057,70.1,Restriction-leaning
10,Mark Garnier,Conservative,Wyre Forest,101,1,43,15,0.009900990099009901,0.4827586206896552,70.0,Restriction-leaning
11,Pat McFadden,Labour,Wolverhampton South East,247,32,101,74,0.12955465587044535,0.15428571428571428,69.7,Restriction-leaning
12,Paula Barker,Labour,Liverpool Wavertree,32,2,26,16,0.0625,0.23809523809523808,68.9,Restriction-leaning
13,Jess Phillips,Labour,Birmingham Yardley,208,25,233,177,0.1201923076923077,0.13658536585365855,68.8,Restriction-leaning
14,Sarah Champion,Labour,Rotherham,187,13,281,185,0.06951871657754011,0.20600858369098712,68.4,Restriction-leaning
15,Christopher Chope,Conservative,Christchurch,309,22,98,66,0.07119741100323625,0.1951219512195122,68.3,Restriction-leaning
16,Bell Ribeiro-Addy,Labour,Clapham and Brixton Hill,68,14,80,65,0.20588235294117646,0.10344827586206896,68.3,Restriction-leaning
17,Luke Pollard,Labour and Co-operative,Plymouth Sutton and Devonport,257,20,277,198,0.07782101167315175,0.16631578947368422,67.9,Restriction-leaning
18,Liz Kendall,Labour,Leicester West,114,13,35,28,0.11403508771929824,0.1111111111111111,67.7,Restriction-leaning
19,Mark Tami,Labour,Alyn and Deeside,129,1,27,11,0.007751937984496124,0.42105263157894735,67.6,Restriction-leaning
20,Jonathan Reynolds,Labour and Co-operative,Stalybridge and Hyde,181,12,124,85,0.06629834254143646,0.18660287081339713,67.5,Restriction-leaning
21,Anneliese Dodds,Labour and Co-operative,Oxford East,198,5,186,100,0.025252525252525252,0.3006993006993007,66.2,Restriction-leaning
22,Jeremy Corbyn,Independent,Islington North,977,82,635,510,0.08393039918116683,0.1091703056768559,66.1,Restriction-leaning
23,Mary Creagh,Labour,Coventry East,280,24,197,163,0.08571428571428572,0.09444444444444444,65.9,Restriction-leaning
24,Victoria Atkins,Conservative,Louth and Horncastle,762,35,585,386,0.045931758530183726,0.20494335736354274,65.6,Restriction-leaning
25,David Lammy,Labour,Tottenham,220,40,206,195,0.18181818181818182,0.02743142144638404,65.5,Restriction-leaning
26,Bridget Phillipson,Labour,Houghton and Sunderland South,159,5,86,52,0.031446540880503145,0.2463768115942029,65.2,Restriction-leaning
27,Edward Leigh,Conservative,Gainsborough,543,42,160,135,0.07734806629834254,0.0847457627118644,65.0,Restriction-leaning
28,Mohammad Yasin,Labour,Bedford,166,18,70,65,0.10843373493975904,0.037037037037037035,64.8,Restriction-leaning
29,Stephen Kinnock,Labour,Aberafan Maesteg,247,15,142,111,0.06072874493927125,0.1225296442687747,64.6,Restriction-leaning
30,Yasmin Qureshi,Labour,Bolton South and Walkden,146,9,78,63,0.06164383561643835,0.10638297872340426,64.2,Restriction-leaning
31,Navendu Mishra,Labour,Stockport,99,7,67,57,0.0707070707070707,0.08064516129032258,64.2,Restriction-leaning
32,Yvette Cooper,Labour,"Pontefract, Castleford and Knottingley",582,122,323,334,0.20962199312714777,-0.0167427701674277,64.1,Restriction-leaning
33,Iain Duncan Smith,Conservative,Chingford and Woodford Green,391,21,120,93,0.05370843989769821,0.1267605633802817,63.9,Restriction-leaning
34,Gill Furniss,Labour,Sheffield Brightside and Hillsborough,113,7,99,82,0.061946902654867256,0.09392265193370165,63.8,Restriction-leaning
35,Lee Anderson,Reform UK,Ashfield,94,7,30,27,0.07446808510638298,0.05263157894736842,63.6,Restriction-leaning
36,Pete Wishart,Scottish National Party,Perth and Kinross-shire,629,40,162,141,0.06359300476947535,0.06930693069306931,63.3,Restriction-leaning
37,Rachael Maskell,Labour and Co-operative,York Central,537,11,216,135,0.020484171322160148,0.23076923076923078,63.1,Restriction-leaning
38,Dan Jarvis,Labour,Barnsley North,141,3,104,66,0.02127659574468085,0.2235294117647059,63.0,Restriction-leaning
39,Ed Miliband,Labour,Doncaster North,159,14,120,118,0.0880503144654088,0.008403361344537815,62.9,Restriction-leaning
40,Alec Shelbrooke,Conservative,Wetherby and Easingwold,195,12,62,54,0.06153846153846154,0.06896551724137931,62.8,Restriction-leaning
41,Tulip Siddiq,Labour,Hampstead and Highgate,110,8,77,72,0.07272727272727272,0.03355704697986577,62.8,Restriction-leaning
42,Sarah Jones,Labour,Croydon West,163,6,106,79,0.03680981595092025,0.14594594594594595,62.5,Restriction-leaning
43,Mike Kane,Labour,Wythenshawe and Sale East,195,7,63,47,0.035897435897435895,0.14545454545454545,62.2,Restriction-leaning
44,Andy McDonald,Labour,Middlesbrough and Thornaby East,281,7,143,98,0.02491103202846975,0.18672199170124482,62.2,Restriction-leaning
45,Dave Doogan,Scottish National Party,Angus and Perthshire Glens,72,8,30,33,0.1111111111111111,-0.047619047619047616,62.0,Restriction-leaning
46,Peter Kyle,Labour,Hove and Portslade,248,6,75,52,0.024193548387096774,0.18110236220472442,61.9,Restriction-leaning
47,Kate Osborne,Labour,Jarrow and Gateshead East,97,7,60,59,0.07216494845360824,0.008403361344537815,61.8,Restriction-leaning
48,Bernard Jenkin,Conservative,Harwich and North Essex,433,21,94,79,0.04849884526558892,0.08670520231213873,61.7,Restriction-leaning
49,Stephanie Peacock,Labour,Barnsley South,196,5,109,77,0.025510204081632654,0.17204301075268819,61.7,Restriction-leaning
50,Ian Murray,Labour,Edinburgh South,414,26,55,52,0.06280193236714976,0.028037383177570093,61.7,Restriction-leaning
51,Neil Coyle,Labour,Bermondsey and Old Southwark,146,5,44,34,0.03424657534246575,0.1282051282051282,61.4,Restriction-leaning
52,Julian Smith,Conservative,Skipton and Ripon,194,3,55,36,0.015463917525773196,0.2087912087912088,61.3,Restriction-leaning
53,Rosena Allin-Khan,Labour,Tooting,165,14,108,115,0.08484848484848485,-0.03139013452914798,61.3,Restriction-leaning
54,Rosie Duffield,Labour,Canterbury,81,7,49,53,0.08641975308641975,-0.0392156862745098,61.2,Restriction-leaning
55,Clive Lewis,Labour,Norwich South,90,3,61,47,0.03333333333333333,0.12962962962962962,61.2,Restriction-leaning
56,Maria Eagle,Labour,Liverpool Garston,152,3,52,37,0.019736842105263157,0.16853932584269662,60.8,Restriction-leaning
57,Shabana Mahmood,Labour,Birmingham Ladywood,67,2,63,49,0.029850746268656716,0.125,60.7,Restriction-leaning
58,Chris Philp,Conservative,Croydon South,694,164,329,420,0.23631123919308358,-0.12149532710280374,60.5,Restriction-leaning
59,Cat Smith,Labour,Lancaster and Wyre,263,8,131,104,0.030418250950570342,0.1148936170212766,60.4,Restriction-leaning
60,Charlotte Nichols,Labour,Warrington North,92,5,56,54,0.05434782608695652,0.01818181818181818,60.2,Restriction-leaning
61,Caroline Nokes,Conservative,Romsey and Southampton North,566,149,226,299,0.26325088339222613,-0.13904761904761906,60.0,Mixed / unclear
62,Colum Eastwood,Social Democratic and Labour Party,Foyle,50,6,15,19,0.12,-0.11764705882352941,59.9,Mixed / unclear
63,Catherine McKinnell,Labour,Newcastle upon Tyne North,186,5,90,72,0.026881720430107527,0.1111111111111111,59.8,Mixed / unclear
64,Meg Hillier,Labour and Co-operative,Hackney South and Shoreditch,265,18,85,91,0.06792452830188679,-0.03409090909090909,59.8,Mixed / unclear
65,Olivia Blake,Labour,Sheffield Hallam,41,3,54,60,0.07317073170731707,-0.05263157894736842,59.8,Mixed / unclear
66,Kirsty Blackman,Scottish National Party,Aberdeen North,365,35,121,146,0.0958904109589041,-0.09363295880149813,59.7,Mixed / unclear
67,Derek Twigg,Labour,Widnes and Halewood,109,2,27,20,0.01834862385321101,0.14893617021276595,59.7,Mixed / unclear
68,Valerie Vaz,Labour,Walsall and Bloxwich,526,56,180,222,0.10646387832699619,-0.1044776119402985,59.7,Mixed / unclear
69,Chris Evans,Labour and Co-operative,Caerphilly,86,6,29,32,0.06976744186046512,-0.04918032786885246,59.6,Mixed / unclear
70,Sammy Wilson,Democratic Unionist Party,East Antrim,465,50,119,148,0.10752688172043011,-0.10861423220973783,59.6,Mixed / unclear
71,Mary Foy,Labour,City of Durham,89,7,78,91,0.07865168539325842,-0.07692307692307693,59.4,Mixed / unclear
72,Julian Lewis,Conservative,New Forest East,547,19,143,125,0.03473491773308958,0.06716417910447761,59.3,Mixed / unclear
73,Wes Streeting,Labour,Ilford North,511,28,215,220,0.0547945205479452,-0.011494252873563218,59.3,Mixed / unclear
74,Keir Starmer,Labour,Holborn and St Pancras,958,101,222,280,0.10542797494780794,-0.11553784860557768,59.3,Mixed / unclear
75,Tim Farron,Liberal Democrat,Westmorland and Lonsdale,340,37,193,250,0.10882352941176471,-0.12866817155756208,59.0,Mixed / unclear
76,Joy Morrissey,Conservative,Beaconsfield,135,5,46,42,0.037037037037037035,0.045454545454545456,59.0,Mixed / unclear
77,Dawn Butler,Labour,Brent East,138,13,91,117,0.09420289855072464,-0.125,58.6,Mixed / unclear
78,Gregory Campbell,Democratic Unionist Party,East Londonderry,196,9,18,18,0.04591836734693878,0.0,58.4,Mixed / unclear
79,Christine Jardine,Liberal Democrat,Edinburgh West,405,33,188,234,0.08148148148148149,-0.10900473933649289,58.3,Mixed / unclear
80,Lucy Powell,Labour and Co-operative,Manchester Central,358,7,120,98,0.019553072625698324,0.10091743119266056,58.3,Mixed / unclear
