name,date_of_birth,age
Robin Millar,1968-10-15,57.4
Leo Docherty,1976-10-04,49.4
Wendy Morton,1967-11-09,58.3
Graham Brady,1967-05-20,58.8
Nigel Mills,1974-10-28,51.3
Andrew Griffith,1971-02-23,55.0
Lee Anderson,1967-01-06,59.1
Damian Green,1956-01-17,70.1
Rob Butler,1967-06-19,58.7
Victoria Prentis,1971-03-24,54.9
David Duguid,1970-10-08,55.4
Simon Fell,1981-02-09,45.0
John Baron,1959-06-21,66.7
Maria Miller,1964-03-26,61.9
Brendan Clarke-Smith,1980-08-17,45.5
Joy Morrissey,1981-01-30,45.1
Bob Stewart,1949-07-07,76.6
Anne-Marie Trevelyan,1969-04-06,56.9
John Lamont,1976-04-15,49.9
Graham Stuart,1962-03-12,64.0
Huw Merriman,1973-07-13,52.6
David Evennett,1949-06-03,76.7
Gary Sambrook,1989-06-01,36.7
Dehenna Davison,1993-07-27,32.6
Paul Maynard,1975-12-16,50.2
Scott Benton,1987-07-01,38.7
Ian Levy,1966-02-14,60.0
Nick Gibb,1960-09-03,65.5
Mark Fletcher,1985-09-29,40.4
Mark Logan,1984-01-28,42.1
Chris Green,1973-08-12,52.5
Matt Warman,1981-09-01,44.5
Luke Evans,1983-01-10,43.1
Tobias Ellwood,1966-08-12,59.5
Conor Burns,1972-09-24,53.4
James Sunderland,1970-06-06,55.7
James Cleverly,1969-09-04,56.5
Fay Jones,1985-01-18,41.1
Alex Burghart,1977-09-07,48.5
Jamie Wallis,1988-05-07,37.8
Ian Liddell-Grainger,1959-02-23,67.0
Andrew Percy,1977-09-18,48.4
Jerome Mayhew,1970-04-11,55.9
Robert Neill,1952-06-24,73.7
Sajid Javid,1969-12-05,56.2
Charles Walker,1967-09-11,58.5
Darren Henry,1968-08-04,57.6
Greg Smith,1979-03-03,47.0
Antony Higginbotham,1989-12-16,36.2
Kate Griffiths,1972-01-01,54.2
James Daly,1980-03-19,45.9
Christian Wakeford,1984-11-09,41.3
Jo Churchill,1964-03-18,61.9
Craig Whittaker,1962-08-30,63.5
George Eustice,1971-09-28,54.4
Amanda Milling,1975-03-12,51.0
John Stevenson,1963-07-04,62.7
Simon Hart,1963-08-15,62.5
Elliot Colburn,1992-08-06,33.6
Rebecca Harris,1967-12-22,58.2
Mel Stride,1961-09-30,64.4
Dan Poulter,1978-10-30,47.3
Edward Argar,1977-12-09,48.2
Tracey Crouch,1975-07-24,50.6
Mary Robinson,1955-08-23,70.5
Vicky Ford,1967-09-21,58.4
Greg Hands,1965-11-14,60.3
Alex Chalk,1976-08-08,49.6
Cheryl Gillan,1952-04-21,73.9
Gillian Keegan,1968-03-13,58.0
Iain Duncan Smith,1954-04-09,71.9
Michelle Donelan,1984-04-08,41.9
Theresa Villiers,1968-03-05,58.0
Christopher Chope,1947-05-19,78.8
Nickie Aiken,1969-02-04,57.1
Giles Watling,1953-02-18,73.0
Martin Vickers,1950-09-13,75.5
Simon Baynes,1960-04-21,65.9
David Jones,1952-03-22,73.9
Will Quince,1982-12-27,43.2
Jason McCartney,1968-01-29,58.1
Fiona Bruce,1957-03-26,68.9
Trudy Harrison,1976-04-19,49.9
Tom Pursglove,1988-11-05,37.3
Henry Smith,1969-05-14,56.8
Kieran Mullan,1984-06-06,41.7
Chris Philp,1976-07-06,49.6
Peter Gibson,1975-05-22,50.8
Gareth Johnson,1969-10-12,56.4
Chris Heaton-Harris,1967-11-28,58.3
Rob Roberts,1979-10-01,46.4
Amanda Solloway,1961-06-06,64.7
Sarah Dines,1965-05-27,60.8
Danny Kruger,1974-10-23,51.3
Mark Eastwood,1971-03-14,55.0
Nick Fletcher,1972-07-15,53.6
Natalie Elphicke,1970-11-01,55.3
Marco Longhi,1967-04-01,58.9
Mike Wood,1976-03-17,49.9
Alister Jack,1963-07-07,62.6
David Mundell,1962-05-27,63.8
