name,member_id,membership_start,membership_end,total_years_as_mp
Robin Millar,4746,2019-12-12,2024-05-30,4.47
Leo Docherty,4600,2017-06-08,2024-05-30,6.98
Wendy Morton,4358,2015-05-07,2026-02-27,10.81
Nigel Mills,4136,2010-05-06,2024-05-30,14.07
Andrew Griffith,4874,2019-12-12,2026-02-27,6.21
Lee Anderson,4743,2019-12-12,2026-02-27,6.21
Damian Green,76,1997-05-01,2024-05-30,27.08
Rob Butler,4745,2019-12-12,2024-05-30,4.47
David Duguid,4606,2017-06-08,2024-05-30,6.98
Simon Fell,4744,2019-12-12,2024-05-30,4.47
John Baron,1390,2001-06-07,2024-05-30,22.98
Maria Miller,1480,2005-05-05,2024-05-30,19.07
Brendan Clarke-Smith,4756,2019-12-12,2024-05-30,4.47
Joy Morrissey,4759,2019-12-12,2026-02-27,6.21
Bob Stewart,3919,2010-05-06,2024-05-30,14.07
Anne-Marie Trevelyan,4531,2015-05-07,2024-05-30,9.07
John Lamont,4608,2017-06-08,2026-02-27,8.72
Graham Stuart,1482,2005-05-05,2026-02-27,20.82
Huw Merriman,4442,2015-05-07,2024-05-30,9.07
David Evennett,1198,1983-06-09,2024-05-30,32.96
Gary Sambrook,4760,2019-12-12,2024-05-30,4.47
Dehenna Davison,4737,2019-12-12,2024-05-30,4.47
Paul Maynard,3926,2010-05-06,2024-05-30,14.07
Scott Benton,4793,2019-12-12,2024-03-25,4.28
Ian Levy,4749,2019-12-12,2024-05-30,4.47
Nick Gibb,111,1997-05-01,2024-05-30,27.08
Mark Fletcher,4774,2019-12-12,2024-05-30,4.47
Mark Logan,4815,2019-12-12,2024-05-30,4.47
Chris Green,4398,2015-05-07,2024-05-30,9.07
Matt Warman,4361,2015-05-07,2024-05-30,9.07
Luke Evans,4781,2019-12-12,2026-02-27,6.21
Tobias Ellwood,1487,2005-05-05,2024-05-30,19.07
Conor Burns,3922,2010-05-06,2024-05-30,14.07
James Sunderland,4767,2019-12-12,2024-05-30,4.47
James Cleverly,4366,2015-05-07,2026-02-27,10.81
Fay Jones,4763,2019-12-12,2024-05-30,4.47
Alex Burghart,4613,2017-06-08,2026-02-27,8.72
Jamie Wallis,4766,2019-12-12,2024-05-30,4.47
Ian Liddell-Grainger,1396,2001-06-07,2024-05-30,22.98
Andrew Percy,3939,2010-05-06,2024-05-30,14.07
Jerome Mayhew,4739,2019-12-12,2026-02-27,6.21
Robert Neill,1601,2006-06-29,2024-05-30,17.92
Sajid Javid,3945,2010-05-06,2024-05-30,14.07
Charles Walker,1493,2005-05-05,2024-05-30,19.07
Darren Henry,4794,2019-12-12,2024-05-30,4.47
Greg Smith,4778,2019-12-12,2026-02-27,6.21
Antony Higginbotham,4833,2019-12-12,2024-05-30,4.47
James Daly,4854,2019-12-12,2024-05-30,4.47
Christian Wakeford,4871,2019-12-12,2026-02-27,6.21
Jo Churchill,4380,2015-05-07,2024-05-30,9.07
Craig Whittaker,3940,2010-05-06,2024-05-30,14.07
George Eustice,3934,2010-05-06,2024-05-30,14.07
Amanda Milling,4454,2015-05-07,2024-05-30,9.07
John Stevenson,3942,2010-05-06,2024-05-30,14.07
Elliot Colburn,4775,2019-12-12,2024-05-30,4.47
Rebecca Harris,3948,2010-05-06,2026-02-27,15.81
Mel Stride,3935,2010-05-06,2026-02-27,15.81
Dan Poulter,3932,2010-05-06,2024-05-30,14.07
Edward Argar,4362,2015-05-07,2026-02-27,10.81
Tracey Crouch,3950,2010-05-06,2024-05-30,14.07
Mary Robinson,4406,2015-05-07,2024-05-30,9.07
Vicky Ford,4674,2017-06-08,2024-05-30,6.98
Greg Hands,1526,2005-05-05,2024-05-30,19.07
Alex Chalk,4481,2015-05-07,2024-05-30,9.07
Cheryl Gillan,18,1992-04-09,2021-04-04,28.99
Gillian Keegan,4680,2017-06-08,2024-05-30,6.98
Iain Duncan Smith,152,1992-04-09,2026-02-27,33.89
Michelle Donelan,4530,2015-05-07,2024-05-30,9.07
Theresa Villiers,1500,2005-05-05,2024-05-30,19.07
Christopher Chope,242,1983-06-09,2026-02-27,37.66
Nickie Aiken,4741,2019-12-12,2024-05-30,4.47
Giles Watling,4677,2017-06-08,2024-05-30,6.98
Martin Vickers,3957,2010-05-06,2026-02-27,15.81
Simon Baynes,4800,2019-12-12,2024-05-30,4.47
David Jones,1502,2005-05-05,2024-05-30,19.07
Will Quince,4423,2015-05-07,2024-05-30,9.07
Jason McCartney,3953,2010-05-06,2024-05-30,11.46
Fiona Bruce,3958,2010-05-06,2024-05-30,14.07
Trudy Harrison,4593,2017-02-23,2024-05-30,7.26
Tom Pursglove,4369,2015-05-07,2024-05-30,9.07
Henry Smith,3960,2010-05-06,2024-05-30,14.07
Kieran Mullan,4860,2019-12-12,2026-02-27,6.21
Chris Philp,4503,2015-05-07,2026-02-27,10.81
Peter Gibson,4754,2019-12-12,2024-05-30,4.47
Gareth Johnson,3970,2010-05-06,2024-05-30,14.07
Chris Heaton-Harris,3977,2010-05-06,2024-05-30,14.07
Rob Roberts,4810,2019-12-12,2024-05-30,4.47
Amanda Solloway,4372,2015-05-07,2024-05-30,6.46
Sarah Dines,4816,2019-12-12,2024-05-30,4.47
Danny Kruger,4858,2019-12-12,2026-02-27,6.21
Mark Eastwood,4807,2019-12-12,2024-05-30,4.47
Nick Fletcher,4832,2019-12-12,2024-05-30,4.47
Natalie Elphicke,4795,2019-12-12,2024-05-30,4.47
Marco Longhi,4789,2019-12-12,2024-05-30,4.47
Mike Wood,401,1997-05-01,2015-03-30,17.91
David Mundell,1512,2005-05-05,2026-02-27,20.82
Simon Jupp,4862,2019-12-12,2024-05-30,4.47
Damian Hinds,3969,2010-05-06,2026-02-27,15.81
Claire Coutinho,4806,2019-12-12,2026-02-27,6.21
Tim Loughton,114,1997-05-01,2024-05-30,27.08
Greg Knight,1200,1983-06-09,2024-05-30,36.87
Caroline Ansell,4512,2015-05-07,2024-05-30,6.46
Paul Holmes,1404,2001-06-07,2010-05-06,8.91
Edward Timpson,1605,2008-05-22,2024-05-30,13.41
Alec Shelbrooke,3997,2010-05-06,2026-02-27,15.81
Maggie Throup,4447,2015-05-07,2024-05-30,9.07
Dominic Raab,4007,2010-05-06,2024-05-30,14.07
Suella Braverman,4475,2015-05-07,2026-02-27,10.81
Helen Whately,4527,2015-05-07,2026-02-27,10.81
Jack Lopresti,3989,2010-05-06,2024-05-30,14.07
Mike Freer,4004,2010-05-06,2024-05-30,14.07
Damian Collins,3986,2010-05-06,2024-05-30,14.07
Mark Menzies,3998,2010-05-06,2024-05-30,14.07
Edward Leigh,345,1983-06-09,2026-02-27,42.72
Tom Randall,4845,2019-12-12,2024-05-30,4.47
Rehman Chishti,3987,2010-05-06,2024-05-30,14.07
Richard Graham,3990,2010-05-06,2024-05-30,14.07
Caroline Dinenage,4008,2010-05-06,2026-02-27,15.81
Gareth Davies,4850,2019-12-12,2026-02-27,6.21
Adam Holloway,1522,2005-05-05,2024-05-30,19.07
Lia Nici,4851,2019-12-12,2024-05-30,4.47
Brandon Lewis,4009,2010-05-06,2024-05-30,14.07
Angela Richardson,4840,2019-12-12,2024-05-30,4.47
James Morris,3992,2010-05-06,2024-05-30,14.07
David Davis,373,1987-06-11,2026-02-27,38.66
Neil O'Brien,4679,2017-06-08,2026-02-27,8.72
Robert Halfon,3985,2010-05-06,2024-05-30,14.07
Andrew Jones,3996,2010-05-06,2024-05-30,14.07
Bob Blackman,4005,2010-05-06,2026-02-27,15.81
Bernard Jenkin,40,1992-04-09,2026-02-27,33.89
Sally-Ann Hart,4842,2019-12-12,2024-05-30,4.47
Alan Mak,4484,2015-05-07,2026-02-27,10.81
William Wragg,4429,2015-05-07,2024-05-30,9.07
Mike Penning,1528,2005-05-05,2024-05-30,19.07
Matthew Offord,4006,2010-05-06,2024-05-30,14.07
John Howell,1606,2008-06-26,2024-05-30,15.93
Jesse Norman,3991,2010-05-06,2026-02-27,15.81
Julie Marson,4768,2019-12-12,2024-05-30,4.47
Oliver Dowden,4441,2015-05-07,2026-02-27,10.81
Guy Opperman,4142,2010-05-06,2024-05-30,14.07
Chris Clarkson,4835,2019-12-12,2024-05-30,4.47
Robert Largan,4852,2019-12-12,2024-05-30,4.47
Bim Afolami,4639,2017-06-08,2024-05-30,6.98
Julia Lopez,4647,2017-06-08,2026-02-27,8.72
Jeremy Quin,4507,2015-05-07,2024-05-30,9.07
Jonathan Djanogly,1425,2001-06-07,2024-05-30,22.98
Sara Britcliffe,4838,2019-12-12,2024-05-30,4.47
Tom Hunt,4771,2019-12-12,2024-05-30,4.47
Bob Seely,4681,2017-06-08,2024-05-30,6.98
Robbie Moore,4861,2019-12-12,2026-02-27,6.21
Jeremy Wright,1560,2005-05-05,2026-02-27,20.82
Felicity Buchan,4821,2019-12-12,2024-05-30,4.47
Philip Hollobone,1537,2005-05-05,2024-05-30,19.07
Chris Skidmore,4021,2010-05-06,2024-01-08,13.68
James Grundy,4843,2019-12-12,2024-05-30,4.47
Maria Caulfield,4492,2015-05-07,2024-05-30,9.07
Michael Fabricant,280,1992-04-09,2024-05-30,32.14
Karl McCartney,4028,2010-05-06,2024-05-30,11.46
Jane Hunt,4839,2019-12-12,2024-05-30,4.47
Victoria Atkins,4399,2015-05-07,2026-02-27,10.81
Philip Dunne,1542,2005-05-05,2024-05-30,19.07
David Rutley,4033,2010-05-06,2024-05-30,14.07
Helen Grant,4018,2010-05-06,2026-02-27,15.81
John Whittingdale,39,1992-04-09,2026-02-27,33.89
Ben Bradley,4663,2017-06-08,2024-05-30,6.98
Flick Drummond,4459,2015-05-07,2024-05-30,6.46
Saqib Bhatti,4818,2019-12-12,2026-02-27,6.21
Nadine Dorries,1481,2005-05-05,2023-08-29,18.32
Pauline Latham,4025,2010-05-06,2024-05-30,14.07
Michael Tomlinson,4497,2015-05-07,2024-05-30,9.07
George Freeman,4020,2010-05-06,2026-02-27,15.81
Mims Davies,4513,2015-05-07,2026-02-27,10.81
Nigel Huddleston,4407,2015-05-07,2026-02-27,10.81
Simon Clarke,4655,2017-06-08,2024-05-30,6.98
