name,member_id,total_years_no_double_count,government_positions,final_post_end_date
Wendy Morton,4358,4.79,"Parliamentary Secretary to the Treasury (Chief Whip); Minister of State (Department for Transport); Parliamentary Under-Secretary (Department for Transport); Parliamentary Under-Secretary (Foreign, Commonwealth and Development Office); Parliamentary Under-Secretary (Foreign and Commonwealth Office) (Joint with the Department for International Development); Parliamentary Under-Secretary (Ministry of Justice); Assistant Whip (HM Treasury)",2022-10-25
Andrew Griffith,4874,2.42,"Minister of State (Department for Science, Innovation and Technology); Economic Secretary (HM Treasury); Financial Secretary (HM Treasury); Parliamentary Under-Secretary (Department for International Trade); Parliamentary Secretary (Minister for Policy and Head of the Prime Minister’s Policy Unit)",2024-07-05
Richard Holden,4813,1.69,Minister without Portfolio (Cabinet Office); Parliamentary Under-Secretary (Department for Transport),2024-07-05
Joy Morrissey,4759,1.99,"Government Whip, Lord Commissioner of HM Treasury; Assistant Whip",2024-07-05
John Lamont,4608,1.69,Parliamentary Under-Secretary (Scotland Office),2024-07-05
Graham Stuart,1482,6.93,"Minister of State (Department for Energy Security and Net Zero); Minister of State (Minister for Climate); Minister of State (Foreign, Commonwealth and Development Office); Parliamentary Under-Secretary (Department for International Trade); Assistant Whip (HM Treasury)",2024-04-12
Kieran Mullan,4860,0.0,,
Alison Griffiths,5203,0.0,,
James Cleverly,4366,5.25,"Home Secretary; Foreign Secretary; Secretary of State for Education; Minister of State (Minister for Europe); Minister of State (Foreign, Commonwealth and Development Office); Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development); Minister without Portfolio (Cabinet Office); Parliamentary Under-Secretary (Department for Exiting the European Union)",2024-07-05
Alex Burghart,4613,2.59,Parliamentary Secretary (Cabinet Office); Parliamentary Under-Secretary (Department for Work and Pensions); Parliamentary Under-Secretary (Department for Education),2024-07-05
Ashley Fox,5101,0.0,,
Charlie Dewhirst,5169,0.0,,
Martin Vickers,3957,0.0,,
Jerome Mayhew,4739,0.0,,
Peter Fortune,5209,0.0,,
Bradley Thomas,5186,0.0,,
Lewis Cocking,5050,0.0,,
Rebecca Harris,3948,7.06,"Comptroller (HM Household) (Whip, House of Commons); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury)",2024-07-05
Mel Stride,3935,6.6,"Secretary of State for Work and Pensions; Lord President of the Council and Leader of the House of Commons; Financial Secretary to the Treasury and Paymaster General; Comptroller (HM Household) (Deputy Chief Whip, House of Commons); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury)",2024-07-05
Patrick Spencer,5303,0.0,,
Aphra Brandreth,5241,0.0,,
Iain Duncan Smith,152,5.85,Secretary of State for Work and Pensions,2016-03-19
Christopher Chope,242,5.59,Parliamentary Under-Secretary (Department for Transport) (Roads and Motoring); Parliamentary Under-Secretary (Department of Environment),1992-04-14
Chris Philp,4503,4.65,"Minister of State (Home Office); Paymaster General and Minister for the Cabinet Office; Chief Secretary to the Treasury; Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ; Parliamentary Under-Secretary (Home Office); Minister of State (London); Parliamentary Under-Secretary (Ministry of Justice)",2024-07-05
Stuart Andrew,4032,7.01,"Parliamentary Under Secretary of State (Department for Culture, Media and Sport); Parliamentary Under Secretary of State (Department for Business and Trade) (Minister for Equalities); Parliamentary Under-Secretary (Department for International Trade) (Minister for Equalities); Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ; Minister of State (Ministry of Justice); Minister of State (Minister for Housing); Treasurer of HM Household (Deputy Chief Whip, House of Commons); Vice-Chamberlain (HM Household); Parliamentary Under-Secretary (Ministry of Defence); Parliamentary Under-Secretary (Wales Office); Assistant Whip (HM Treasury)",2024-07-05
Nigel Huddleston,4407,4.94,"Financial Secretary (HM Treasury); Minister of State (Department for Business and Trade); Parliamentary Under-Secretary (Department for International Trade); Government Whip, Lord Commissioner of HM Treasury; Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ; Assistant Whip",2024-07-05
John Cooper,5358,0.0,,
David Mundell,1512,9.19,Secretary of State for Scotland; Parliamentary Under-Secretary (Scotland Office),2019-07-24
Mims Davies,4513,6.28,"Minister of State (Department for Work and Pensions); Parliamentary Under-Secretary (Department for Work and Pensions); Parliamentary Under-Secretary (Home Office); Parliamentary Under-Secretary (Department for Work and Pensions); Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ; Parliamentary Under-Secretary (Wales Office); Assistant Whip (HM Treasury)",2024-07-05
Damian Hinds,3969,7.5,Minister of State (Education); Minister of State (Ministry of Justice); Minister of State (Home Office) (Security); Secretary of State for Education; Minister of State (Department for Work and Pensions); Exchequer Secretary (HM Treasury); Assistant Whip (HM Treasury),2024-07-05
