name,date_of_birth,age
Wendy Morton,1967-11-09,58.3
Andrew Griffith,1971-02-23,55.0
Richard Holden,1985-03-11,41.0
Joy Morrissey,1981-01-30,45.1
John Lamont,1976-04-15,49.9
Graham Stuart,1962-03-12,64.0
Kieran Mullan,1984-06-06,41.7
Alison Griffiths,1969-06-01,56.7
James Cleverly,1969-09-04,56.5
Alex Burghart,1977-09-07,48.5
Ashley Fox,1969-11-15,56.3
Charlie Dewhirst,1980-06-04,45.7
Martin Vickers,1950-09-13,75.5
Jerome Mayhew,1970-04-11,55.9
Peter Fortune,1978-08-01,47.6
Bradley Thomas,1989-01-01,37.2
Lewis Cocking,1992-01-01,34.2
Rebecca Harris,1967-12-22,58.2
Mel Stride,1961-09-30,64.4
Patrick Spencer,1988-05-08,37.8
Aphra Brandreth,1978-07-18,47.6
Iain Duncan Smith,1954-04-09,71.9
Christopher Chope,1947-05-19,78.8
Chris Philp,1976-07-06,49.6
Stuart Andrew,1971-11-25,54.3
Nigel Huddleston,1970-10-13,55.4
John Cooper,1967-01-01,59.2
David Mundell,1962-05-27,63.8
Mims Davies,1975-06-02,50.7
Damian Hinds,1969-11-27,56.3
Claire Coutinho,1985-07-08,40.6
Danny Kruger,1974-10-23,51.3
Neil Hudson,1969-01-01,57.2
David Reed,1989-12-01,36.2
Suella Braverman,1980-04-03,45.9
Greg Stafford,1982-01-01,44.2
Helen Whately,1976-06-23,49.7
Andrew Snowden,1984-10-01,41.4
Edward Leigh,1950-07-20,75.6
Jeremy Hunt,1966-11-01,59.3
David Davis,1948-12-23,77.2
Harriet Cross,1990-01-01,36.2
Caroline Dinenage,1971-10-28,54.3
Gareth Davies,1984-03-31,41.9
Paul Holmes,1988-08-25,37.5
Neil O'Brien,1978-11-06,47.3
Bob Blackman,1956-04-26,69.8
Bernard Jenkin,1959-04-09,66.9
Alan Mak,1983-11-19,42.3
Jesse Norman,1962-06-23,63.7
Roger Gale,1943-08-20,82.5
Oliver Dowden,1978-08-01,47.6
Luke Evans,1983-01-10,43.1
Julia Lopez,1984-06-04,41.7
Ben Obese-Jecty,1979-09-01,46.5
Joe Robertson,1984-01-01,42.2
Robbie Moore,1984-11-28,41.2
Jeremy Wright,1972-10-24,53.3
Mike Wood,1976-03-17,49.9
Shivani Raja,1994-01-01,32.2
Victoria Atkins,1976-03-22,49.9
Helen Grant,1961-09-28,64.4
John Whittingdale,1959-10-16,66.4
Edward Argar,1977-12-09,48.2
Saqib Bhatti,1985-06-18,40.7
Blake Stephenson,1995-01-01,31.2
Greg Smith,1979-03-03,47.0
Peter Bedford,1986-02-03,40.1
George Freeman,1967-07-12,58.6
Julian Lewis,1951-09-26,74.4
Desmond Swayne,1956-08-20,69.5
Robert Jenrick,1982-01-09,44.1
Richard Fuller,1962-05-30,63.7
Geoffrey Clifton-Brown,1953-03-23,72.9
Simon Hoare,1969-06-28,56.7
Steve Barclay,1972-05-03,53.8
Kemi Badenoch,1980-01-02,46.2
Kit Malthouse,1966-10-27,59.3
James Wild,1977-01-05,49.1
Louie French,1988-02-14,38.0
Gareth Bacon,1972-04-07,53.9
Mark Francois,1965-08-14,60.5
Rebecca Paul,1979-01-01,47.2
Rishi Sunak,1980-05-12,45.8
Andrew Rosindell,1966-03-17,60.0
Caroline Nokes,1972-06-26,53.7
David Simmonds,1976-02-22,50.0
Ben Spencer,1981-12-11,44.2
Alicia Kearns,1987-01-01,39.2
John Glen,1974-04-01,51.9
Laura Trott,1984-12-07,41.2
Julian Smith,1971-08-30,54.5
Caroline Johnson,1977-12-31,48.2
Neil Shastri-Hurst,1983-01-01,43.2
John Hayes,1958-06-23,67.7
Alberto Costa,1971-11-13,54.3
Sarah Bool,1988-01-01,38.2
Stuart Anderson,1976-07-17,49.6
James Cartlidge,1974-04-30,51.8
Rebecca Smith,1983-01-01,43.2
Gagan Mohindra,1978-04-04,47.9
Andrew Murrison,1961-04-24,64.8
Lincoln Jopp,1968-02-02,58.1
Karen Bradley,1970-03-12,56.0
Matt Vickers,1983-09-24,42.4
Gavin Williamson,1976-06-25,49.7
Nus Ghani,1972-09-01,53.5
Andrew Mitchell,1956-03-23,69.9
Esther McVey,1967-10-24,58.3
Mark Pritchard,1966-11-22,59.3
Kevin Hollinrake,1963-09-28,62.4
Tom Tugendhat,1973-06-27,52.7
Geoffrey Cox,1960-04-30,65.8
Katie Lam,1991-08-01,34.6
Andrew Bowie,1987-05-28,38.8
Nick Timothy,1980-01-01,46.2
Harriett Baldwin,1960-05-02,65.8
Alec Shelbrooke,1976-01-10,50.1
Jack Rankin,1992-08-19,33.5
Priti Patel,1972-03-29,53.9
Mark Garnier,1963-02-26,63.0
