name,member_id,membership_start,membership_end,total_years_as_mp
Wendy Morton,4358,2015-05-07,2026-02-27,10.81
Andrew Griffith,4874,2019-12-12,2026-02-27,6.21
Richard Holden,4813,2019-12-12,2026-02-27,6.21
Joy Morrissey,4759,2019-12-12,2026-02-27,6.21
John Lamont,4608,2017-06-08,2026-02-27,8.72
Graham Stuart,1482,2005-05-05,2026-02-27,20.82
Kieran Mullan,4860,2019-12-12,2026-02-27,6.21
Alison Griffiths,5203,2024-07-04,2026-02-27,1.65
James Cleverly,4366,2015-05-07,2026-02-27,10.81
Alex Burghart,4613,2017-06-08,2026-02-27,8.72
Ashley Fox,5101,2024-07-04,2026-02-27,1.65
Charlie Dewhirst,5169,2024-07-04,2026-02-27,1.65
Martin Vickers,3957,2010-05-06,2026-02-27,15.81
Jerome Mayhew,4739,2019-12-12,2026-02-27,6.21
Peter Fortune,5209,2024-07-04,2026-02-27,1.65
Bradley Thomas,5186,2024-07-04,2026-02-27,1.65
Lewis Cocking,5050,2024-07-04,2026-02-27,1.65
Rebecca Harris,3948,2010-05-06,2026-02-27,15.81
Mel Stride,3935,2010-05-06,2026-02-27,15.81
Patrick Spencer,5303,2024-07-04,2026-02-27,1.65
Aphra Brandreth,5241,2024-07-04,2026-02-27,1.65
Iain Duncan Smith,152,1992-04-09,2026-02-27,33.89
Christopher Chope,242,1983-06-09,2026-02-27,37.66
Chris Philp,4503,2015-05-07,2026-02-27,10.81
Stuart Andrew,4032,2010-05-06,2026-02-27,15.81
Nigel Huddleston,4407,2015-05-07,2026-02-27,10.81
John Cooper,5358,2024-07-04,2026-02-27,1.65
David Mundell,1512,2005-05-05,2026-02-27,20.82
Mims Davies,4513,2015-05-07,2026-02-27,10.81
Damian Hinds,3969,2010-05-06,2026-02-27,15.81
Claire Coutinho,4806,2019-12-12,2026-02-27,6.21
Danny Kruger,4858,2019-12-12,2026-02-27,6.21
Neil Hudson,4853,2019-12-12,2026-02-27,6.21
David Reed,1685,1970-06-18,1974-02-28,3.7
Suella Braverman,4475,2015-05-07,2026-02-27,10.81
Helen Whately,4527,2015-05-07,2026-02-27,10.81
Andrew Snowden,5072,2024-07-04,2026-02-27,1.65
Edward Leigh,345,1983-06-09,2026-02-27,42.72
Jeremy Hunt,1572,2005-05-05,2026-02-27,20.82
David Davis,373,1987-06-11,2026-02-27,38.66
Harriet Cross,5311,2024-07-04,2026-02-27,1.65
Caroline Dinenage,4008,2010-05-06,2026-02-27,15.81
Gareth Davies,4850,2019-12-12,2026-02-27,6.21
Paul Holmes,1404,2001-06-07,2010-05-06,8.91
Neil O'Brien,4679,2017-06-08,2026-02-27,8.72
Bob Blackman,4005,2010-05-06,2026-02-27,15.81
Bernard Jenkin,40,1992-04-09,2026-02-27,33.89
Alan Mak,4484,2015-05-07,2026-02-27,10.81
Jesse Norman,3991,2010-05-06,2026-02-27,15.81
Roger Gale,87,1983-06-09,2026-02-27,42.72
Oliver Dowden,4441,2015-05-07,2026-02-27,10.81
Luke Evans,4781,2019-12-12,2026-02-27,6.21
Julia Lopez,4647,2017-06-08,2026-02-27,8.72
Ben Obese-Jecty,5089,2024-07-04,2026-02-27,1.65
Joe Robertson,5255,2024-07-04,2026-02-27,1.65
Robbie Moore,4861,2019-12-12,2026-02-27,6.21
Jeremy Wright,1560,2005-05-05,2026-02-27,20.82
Mike Wood,401,1997-05-01,2015-03-30,17.91
Shivani Raja,5068,2024-07-04,2026-02-27,1.65
Victoria Atkins,4399,2015-05-07,2026-02-27,10.81
Helen Grant,4018,2010-05-06,2026-02-27,15.81
John Whittingdale,39,1992-04-09,2026-02-27,33.89
Edward Argar,4362,2015-05-07,2026-02-27,10.81
Saqib Bhatti,4818,2019-12-12,2026-02-27,6.21
Blake Stephenson,5100,2024-07-04,2026-02-27,1.65
Greg Smith,4778,2019-12-12,2026-02-27,6.21
Peter Bedford,5330,2024-07-04,2026-02-27,1.65
George Freeman,4020,2010-05-06,2026-02-27,15.81
Julian Lewis,54,1997-05-01,2026-02-27,28.83
Desmond Swayne,55,1997-05-01,2026-02-27,28.83
Robert Jenrick,4320,2014-06-05,2026-02-27,11.73
Richard Fuller,3912,2010-05-06,2026-02-27,13.2
Geoffrey Clifton-Brown,249,1992-04-09,2026-02-27,33.89
Simon Hoare,4494,2015-05-07,2026-02-27,10.81
Steve Barclay,4095,2010-05-06,2026-02-27,15.81
Kemi Badenoch,4597,2017-06-08,2026-02-27,8.72
Kit Malthouse,4495,2015-05-07,2026-02-27,10.81
James Wild,4787,2019-12-12,2026-02-27,6.21
Louie French,4932,2021-12-02,2026-02-27,4.24
Gareth Bacon,4798,2019-12-12,2026-02-27,6.21
Mark Francois,1444,2001-06-07,2026-02-27,24.73
Rebecca Paul,5297,2024-07-04,2026-02-27,1.65
Rishi Sunak,4483,2015-05-07,2026-02-27,10.81
Andrew Rosindell,1447,2001-06-07,2026-02-27,24.73
Caroline Nokes,4048,2010-05-06,2026-02-27,15.81
David Simmonds,4872,2019-12-12,2026-02-27,6.21
Ben Spencer,4785,2019-12-12,2026-02-27,6.21
Alicia Kearns,4805,2019-12-12,2026-02-27,6.21
John Glen,4051,2010-05-06,2026-02-27,15.81
Laura Trott,4780,2019-12-12,2026-02-27,6.21
Julian Smith,4118,2010-05-06,2026-02-27,15.81
Caroline Johnson,4592,2016-12-08,2026-02-27,9.22
Neil Shastri-Hurst,5197,2024-07-04,2026-02-27,1.65
John Hayes,350,1997-05-01,2026-02-27,28.83
Alberto Costa,4439,2015-05-07,2026-02-27,10.81
Sarah Bool,5355,2024-07-04,2026-02-27,1.65
Stuart Anderson,4742,2019-12-12,2026-02-27,6.21
James Cartlidge,4519,2015-05-07,2026-02-27,10.81
Rebecca Smith,5301,2024-07-04,2026-02-27,1.65
Gagan Mohindra,4804,2019-12-12,2026-02-27,6.21
Andrew Murrison,1466,2001-06-07,2026-02-27,24.73
Lincoln Jopp,5332,2024-07-04,2026-02-27,1.65
Karen Bradley,4110,2010-05-06,2026-02-27,15.81
Matt Vickers,4844,2019-12-12,2026-02-27,6.21
Gavin Williamson,4108,2010-05-06,2026-02-27,15.81
Andrew Mitchell,1211,1987-06-11,2026-02-27,34.61
