opposition_lead,time_to_election,parliament,opposition_won
-0.0376972342034538,1,1955-1959,Opposition lost
-0.0377139650662367,2,1955-1959,Opposition lost
-0.0377298717489217,3,1955-1959,Opposition lost
-0.0377449547597961,4,1955-1959,Opposition lost
-0.0377592146093266,5,1955-1959,Opposition lost
-0.037772651821232,6,1955-1959,Opposition lost
-0.0377852669645735,7,1955-1959,Opposition lost
-0.0377970606442631,8,1955-1959,Opposition lost
-0.0378080335737626,9,1955-1959,Opposition lost
-0.0378181864920479,10,1955-1959,Opposition lost
-0.0378275201346811,11,1955-1959,Opposition lost
-0.0378360352390751,12,1955-1959,Opposition lost
-0.0378437325562541,13,1955-1959,Opposition lost
-0.0378506128458896,14,1955-1959,Opposition lost
-0.0378566768919514,15,1955-1959,Opposition lost
-0.0378619254905671,16,1955-1959,Opposition lost
-0.0378663594664218,17,1955-1959,Opposition lost
-0.0378699796493257,18,1955-1959,Opposition lost
-0.0378727868664273,19,1955-1959,Opposition lost
-0.0378747819397571,20,1955-1959,Opposition lost
-0.037875965678957,21,1955-1959,Opposition lost
-0.0378763388753938,22,1955-1959,Opposition lost
-0.0378759022644952,23,1955-1959,Opposition lost
-0.0378746565639996,24,1955-1959,Opposition lost
-0.0378726024887081,25,1955-1959,Opposition lost
-0.0378697407510323,26,1955-1959,Opposition lost
-0.0378660720609538,27,1955-1959,Opposition lost
-0.0378615971242823,28,1955-1959,Opposition lost
-0.037856316626366,29,1955-1959,Opposition lost
-0.0378502311917992,30,1955-1959,Opposition lost
-0.0378433413802494,31,1955-1959,Opposition lost
-0.0378356477354817,32,1955-1959,Opposition lost
-0.0378271507981,33,1955-1959,Opposition lost
-0.0378178511055441,34,1955-1959,Opposition lost
-0.0378077491921088,35,1955-1959,Opposition lost
-0.0377968455868312,36,1955-1959,Opposition lost
-0.0377851408071354,37,1955-1959,Opposition lost
-0.0377726353520053,38,1955-1959,Opposition lost
-0.0377593296645742,39,1955-1959,Opposition lost
-0.0377452241705991,40,1955-1959,Opposition lost
-0.0377303192914373,41,1955-1959,Opposition lost
-0.0377146154440503,42,1955-1959,Opposition lost
-0.0376981130409733,43,1955-1959,Opposition lost
-0.0376808124903546,44,1955-1959,Opposition lost
-0.0376627141959382,45,1955-1959,Opposition lost
-0.0376438185570713,46,1955-1959,Opposition lost
-0.0376241259686916,47,1955-1959,Opposition lost
-0.0376036368213627,48,1955-1959,Opposition lost
-0.0375823515012384,49,1955-1959,Opposition lost
-0.0375602703900869,50,1955-1959,Opposition lost
-0.0375373938652965,51,1955-1959,Opposition lost
-0.0375137222998614,52,1955-1959,Opposition lost
-0.037489256062394,53,1955-1959,Opposition lost
-0.0374639955171259,54,1955-1959,Opposition lost
-0.0374379410239074,55,1955-1959,Opposition lost
-0.0374110929382237,56,1955-1959,Opposition lost
-0.0373834516111802,57,1955-1959,Opposition lost
-0.037355017389508,58,1955-1959,Opposition lost
-0.0373257906155795,59,1955-1959,Opposition lost
-0.0372957716273931,60,1955-1959,Opposition lost
-0.0372649607585978,61,1955-1959,Opposition lost
-0.0372333583384693,62,1955-1959,Opposition lost
-0.0372009646903186,63,1955-1959,Opposition lost
-0.0371677801265001,64,1955-1959,Opposition lost
-0.0371338049530785,65,1955-1959,Opposition lost
-0.0370990394714507,66,1955-1959,Opposition lost
-0.0370634839783248,67,1955-1959,Opposition lost
-0.0370271387657296,68,1955-1959,Opposition lost
-0.0369900041210322,69,1955-1959,Opposition lost
-0.0369520803269115,70,1955-1959,Opposition lost
-0.0369133676613933,71,1955-1959,Opposition lost
-0.0368738663978275,72,1955-1959,Opposition lost
-0.0368335768049032,73,1955-1959,Opposition lost
-0.0367924991466574,74,1955-1959,Opposition lost
-0.0367506336824617,75,1955-1959,Opposition lost
-0.0367079806670394,76,1955-1959,Opposition lost
-0.0366645403504657,77,1955-1959,Opposition lost
-0.0366203129781678,78,1955-1959,Opposition lost
-0.0365752987909983,79,1955-1959,Opposition lost
-0.0365294980253951,80,1955-1959,Opposition lost
-0.0364829109132064,81,1955-1959,Opposition lost
-0.0364355376816105,82,1955-1959,Opposition lost
-0.0363873785531397,83,1955-1959,Opposition lost
-0.0363384337455572,84,1955-1959,Opposition lost
-0.0362887034715359,85,1955-1959,Opposition lost
-0.0362381879389139,86,1955-1959,Opposition lost
-0.0361868873508421,87,1955-1959,Opposition lost
-0.0361348019057694,88,1955-1959,Opposition lost
-0.0360819317974445,89,1955-1959,Opposition lost
-0.0360282772149301,90,1955-1959,Opposition lost
-0.0359738383425862,91,1955-1959,Opposition lost
-0.0359186153600915,92,1955-1959,Opposition lost
-0.0358626084424523,93,1955-1959,Opposition lost
-0.0358058177599805,94,1955-1959,Opposition lost
-0.0357482434783157,95,1955-1959,Opposition lost
-0.0356898857584327,96,1955-1959,Opposition lost
-0.0356307447573484,97,1955-1959,Opposition lost
-0.0355708206302747,98,1955-1959,Opposition lost
-0.0355101135285881,99,1955-1959,Opposition lost
-0.0354486235991324,100,1955-1959,Opposition lost
-0.0353863509842075,101,1955-1959,Opposition lost
-0.0353232958215928,102,1955-1959,Opposition lost
-0.0352594582445465,103,1955-1959,Opposition lost
-0.0351948383818017,104,1955-1959,Opposition lost
-0.0351294363575774,105,1955-1959,Opposition lost
-0.0350632522915996,106,1955-1959,Opposition lost
-0.0349962862990797,107,1955-1959,Opposition lost
-0.0349285384907351,108,1955-1959,Opposition lost
-0.0348600089728003,109,1955-1959,Opposition lost
-0.0347906978470208,110,1955-1959,Opposition lost
-0.0347206052106781,111,1955-1959,Opposition lost
-0.034649731156568,112,1955-1959,Opposition lost
-0.0345780757730451,113,1955-1959,Opposition lost
-0.0345056391439994,114,1955-1959,Opposition lost
-0.0344324213488786,115,1955-1959,Opposition lost
-0.0343584224627052,116,1955-1959,Opposition lost
-0.0342836425560625,117,1955-1959,Opposition lost
-0.034208081695124,118,1955-1959,Opposition lost
-0.0341317399416559,119,1955-1959,Opposition lost
-0.0340546173530231,120,1955-1959,Opposition lost
